PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,CR,LNDRSC,,,,,,,,,,1
OperationalLife,BAU,CR,IMPRIC,,,,,,,,,,1
OperationalLife,BAU,CR,IMPBAN,,,,,,,,,,1
OperationalLife,BAU,CR,IMPCAF,,,,,,,,,,1
OperationalLife,BAU,CR,IMPSUG,,,,,,,,,,1
OperationalLife,BAU,CR,IMPMOL,,,,,,,,,,1
OperationalLife,BAU,CR,IMPPLM,,,,,,,,,,1
OperationalLife,BAU,CR,IMPPIN,,,,,,,,,,1
OperationalLife,BAU,CR,IMPORG,,,,,,,,,,1
OperationalLife,BAU,CR,IMPFRT,,,,,,,,,,1
OperationalLife,BAU,CR,IMPVEG,,,,,,,,,,1
OperationalLife,BAU,CR,IMPOTG,,,,,,,,,,1
OperationalLife,BAU,CR,IMPLEC,,,,,,,,,,1
OperationalLife,BAU,CR,IMPCAR,,,,,,,,,,1
OperationalLife,BAU,CR,IMPWOD,,,,,,,,,,1
OperationalLife,BAU,CR,PROPOR,,,,,,,,,,1
OperationalLife,BAU,CR,PROCHI,,,,,,,,,,1
OperationalLife,BAU,CR,BOSMANWETPRI,,,,,,,,,,1
OperationalLife,BAU,CR,BOSMANMSTPRI,,,,,,,,,,1
OperationalLife,BAU,CR,BOSMANDRYPRI,,,,,,,,,,1
OperationalLife,BAU,CR,BOSMANMGRPRI,,,,,,,,,,1
OperationalLife,BAU,CR,BOSMANPLMPRI,,,,,,,,,,1
OperationalLife,BAU,CR,BOSMANWETSEC,,,,,,,,,,1
OperationalLife,BAU,CR,BOSMANMSTSEC,,,,,,,,,,1
OperationalLife,BAU,CR,BOSMANDRYSEC,,,,,,,,,,1
OperationalLife,BAU,CR,BOSMANMGRSEC,,,,,,,,,,1
OperationalLife,BAU,CR,BOSMANPLMSEC,,,,,,,,,,1
OperationalLife,BAU,CR,DEFANTWETPRI,,,,,,,,,,1
OperationalLife,BAU,CR,DEFANTMSTPRI,,,,,,,,,,1
OperationalLife,BAU,CR,DEFANTDRYPRI,,,,,,,,,,1
OperationalLife,BAU,CR,DEFANTMGRPRI,,,,,,,,,,1
OperationalLife,BAU,CR,DEFANTPLMPRI,,,,,,,,,,1
OperationalLife,BAU,CR,DEFANTWETSEC,,,,,,,,,,1
OperationalLife,BAU,CR,DEFANTMSTSEC,,,,,,,,,,1
OperationalLife,BAU,CR,DEFANTDRYSEC,,,,,,,,,,1
OperationalLife,BAU,CR,DEFANTMGRSEC,,,,,,,,,,1
OperationalLife,BAU,CR,DEFANTPLMSEC,,,,,,,,,,1
OperationalLife,BAU,CR,DEFNONANTWETPRI,,,,,,,,,,1
OperationalLife,BAU,CR,DEFNONANTMSTPRI,,,,,,,,,,1
OperationalLife,BAU,CR,DEFNONANTDRYPRI,,,,,,,,,,1
OperationalLife,BAU,CR,DEFNONANTMGRPRI,,,,,,,,,,1
OperationalLife,BAU,CR,DEFNONANTPLMPRI,,,,,,,,,,1
OperationalLife,BAU,CR,DEFNONANTWETSEC,,,,,,,,,,1
OperationalLife,BAU,CR,DEFNONANTMSTSEC,,,,,,,,,,1
OperationalLife,BAU,CR,DEFNONANTDRYSEC,,,,,,,,,,1
OperationalLife,BAU,CR,DEFNONANTMGRSEC,,,,,,,,,,1
OperationalLife,BAU,CR,DEFNONANTPLMSEC,,,,,,,,,,1
OperationalLife,BAU,CR,CAMCRPWETSEC,,,,,,,,,,1
OperationalLife,BAU,CR,CAMCRPMSTSEC,,,,,,,,,,1
OperationalLife,BAU,CR,CAMCRPDRYSEC,,,,,,,,,,1
OperationalLife,BAU,CR,CAMCRPMGRSEC,,,,,,,,,,1
OperationalLife,BAU,CR,CAMCRPPLMSEC,,,,,,,,,,1
OperationalLife,BAU,CR,CAMPASWETSEC,,,,,,,,,,1
OperationalLife,BAU,CR,CAMPASMSTSEC,,,,,,,,,,1
OperationalLife,BAU,CR,CAMPASDRYSEC,,,,,,,,,,1
OperationalLife,BAU,CR,CAMPASMGRSEC,,,,,,,,,,1
