PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,CR,IMPRIC,,,1,2018,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2019,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2020,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2021,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2022,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2023,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2024,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2025,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2026,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2027,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2028,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2029,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2030,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2031,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2032,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2033,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2034,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2035,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2036,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2037,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2038,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2039,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2040,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2041,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2042,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2043,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2044,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2045,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2046,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2047,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2048,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2049,,,,,,558.7
VariableCost,BAU,CR,IMPRIC,,,1,2050,,,,,,558.7
VariableCost,BAU,CR,IMPBAN,,,1,2018,,,,,,52.3
