PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2018,,,,,,-20.1933
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2019,,,,,,-16.3675
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2020,,,,,,-22.6457
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2021,,,,,,-22.5039
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2022,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2023,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2024,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2025,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2026,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2027,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2028,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2029,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2030,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2031,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2032,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2033,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2034,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2035,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2036,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2037,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2038,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2039,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2040,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2041,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2042,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2043,,,,,,-20.4276
EmissionActivityRatio,BAU,CR,AGRWOD,,CO2E_USO_SUELO_AFOLU,1,2044,,,,,,-20.4276
