PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2036,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2037,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2038,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2039,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2040,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2041,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2042,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2043,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2044,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2045,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2046,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2047,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2048,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2049,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRRIC,,,2050,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRBAN,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRBAN,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRBAN,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRBAN,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRBAN,,,2022,All,,,,,1
