PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2021,,,,,,0.18
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2022,,,,,,0.186
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2023,,,,,,0.193
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2024,,,,,,0.1991
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2025,,,,,,0.2042
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2026,,,,,,0.2093
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2027,,,,,,0.2148
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2028,,,,,,0.2203
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2029,,,,,,0.226
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2030,,,,,,0.2319
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2031,,,,,,0.2378
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2032,,,,,,0.244
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2033,,,,,,0.2503
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2034,,,,,,0.2567
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2035,,,,,,0.2633
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2036,,,,,,0.2701
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2037,,,,,,0.2771
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2038,,,,,,0.2842
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2039,,,,,,0.2915
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2040,,,,,,0.2991
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2041,,,,,,0.3068
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2042,,,,,,0.3147
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2043,,,,,,0.3228
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2044,,,,,,0.3311
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2045,,,,,,0.3396
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2046,,,,,,0.3484
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2047,,,,,,0.3574
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2048,,,,,,0.3666
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2049,,,,,,0.376
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNMIC,,,,2050,,,,,,0.3857
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2021,,,,,,0.2596
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2022,,,,,,0.2683
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2023,,,,,,0.2784
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2024,,,,,,0.2872
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2025,,,,,,0.2945
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2026,,,,,,0.302
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2027,,,,,,0.3098
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2028,,,,,,0.3179
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2029,,,,,,0.3261
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2030,,,,,,0.3345
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2031,,,,,,0.3431
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2032,,,,,,0.352
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2033,,,,,,0.3611
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2034,,,,,,0.3704
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2035,,,,,,0.3799
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2036,,,,,,0.3897
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2037,,,,,,0.3997
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2038,,,,,,0.4101
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2039,,,,,,0.4206
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2040,,,,,,0.4315
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2041,,,,,,0.4426
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2042,,,,,,0.454
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2043,,,,,,0.4657
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2044,,,,,,0.4777
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2045,,,,,,0.49
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2046,,,,,,0.5026
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2047,,,,,,0.5156
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2048,,,,,,0.5289
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2049,,,,,,0.5425
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNBUS,,,,2050,,,,,,0.5565
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2021,,,,,,0.546
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2022,,,,,,0.5643
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2023,,,,,,0.5855
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2024,,,,,,0.6042
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2025,,,,,,0.6195
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2026,,,,,,0.6351
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2027,,,,,,0.6517
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2028,,,,,,0.6686
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2029,,,,,,0.6859
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2030,,,,,,0.7036
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2031,,,,,,0.7217
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2032,,,,,,0.7403
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2033,,,,,,0.7594
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2034,,,,,,0.779
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,TRNTAX,,,,2035,,,,,,0.799
