PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2021,,,,,,2.245
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2022,,,,,,2.3889
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2023,,,,,,2.8261
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2024,,,,,,3.8463
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2025,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2026,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2027,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2028,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2029,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2030,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2031,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2032,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2033,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2034,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2035,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2036,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2037,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2038,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2039,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2040,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2041,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2042,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2043,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2044,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2045,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2046,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2047,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2048,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2049,,,,,,2.8266
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,IMPELE,,,,2050,,,,,,2.8266
