PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2021,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2022,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2023,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2024,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2025,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2026,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2027,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2028,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2029,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2030,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2031,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2032,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2033,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2034,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2035,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2036,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2037,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2038,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2039,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2040,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2041,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2042,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2043,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2044,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2045,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2046,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2047,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2048,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2049,,,,,,8.16
ResidualCapacity,NDCincond,CR,IMPLPG,,,,2050,,,,,,8.16
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2021,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2022,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2023,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2024,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2025,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2026,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2027,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2028,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2029,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2030,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2031,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2032,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2033,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2034,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2035,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2036,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2037,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2038,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2039,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2040,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2041,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2042,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2043,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2044,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2045,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2046,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2047,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2048,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2049,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRGEO,,,,2050,,,,,,0.229
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2021,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2022,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2023,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2024,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2025,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2026,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2027,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2028,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2029,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2030,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2031,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2032,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2033,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2034,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2035,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2036,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2037,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2038,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2039,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2040,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2041,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2042,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2043,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2044,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2045,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2046,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2047,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2048,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2049,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDDAM,,,,2050,,,,,,1.13
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2021,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2022,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2023,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2024,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2025,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2026,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2027,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2028,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2029,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2030,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2031,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2032,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2033,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2034,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2035,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2036,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2037,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2038,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2039,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2040,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2041,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2042,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2043,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2044,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2045,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2046,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2047,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2048,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2049,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRHYDROR,,,,2050,,,,,,1.23
ResidualCapacity,NDCincond,CR,PWRSPVTRN,,,,2021,,,,,,0.0054
ResidualCapacity,NDCincond,CR,PWRSPVTRN,,,,2022,,,,,,0.0054
ResidualCapacity,NDCincond,CR,PWRSPVTRN,,,,2023,,,,,,0.0054
ResidualCapacity,NDCincond,CR,PWRSPVTRN,,,,2024,,,,,,0.0054
ResidualCapacity,NDCincond,CR,PWRSPVTRN,,,,2025,,,,,,0.0054
