PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,CR,RAW_MAT_CLK,,,,,,,,,,1
OperationalLife,BAU,CR,RAW_MAT_CEM,,,,,,,,,,1
OperationalLife,BAU,CR,IMP_STOR,,,,,,,,,,1
OperationalLife,BAU,CR,LIME_PROD,,,,,,,,,,1
OperationalLife,BAU,CR,GLASS_PROD,,,,,,,,,,1
OperationalLife,BAU,CR,CARBONATE,,,,,,,,,,1
OperationalLife,BAU,CR,NITRIC_ACID,,,,,,,,,,1
OperationalLife,BAU,CR,CARBIDE_PROD,,,,,,,,,,1
OperationalLife,BAU,CR,LUBRI_OILS,,,,,,,,,,1
OperationalLife,BAU,CR,LUBRI_GREASE,,,,,,,,,,1
OperationalLife,BAU,CR,PARAFFIN,,,,,,,,,,1
OperationalLife,BAU,CR,REFR_AC_HFC32,,,,,,,,,,1
OperationalLife,BAU,CR,REFR_AC_HFC125,,,,,,,,,,1
OperationalLife,BAU,CR,REFR_AC_HFC134a,,,,,,,,,,1
OperationalLife,BAU,CR,REFR_AC_HFC143a,,,,,,,,,,1
OperationalLife,BAU,CR,REFR_AC_HFC152a,,,,,,,,,,1
OperationalLife,BAU,CR,REFR_AC_HFC23,,,,,,,,,,1
OperationalLife,BAU,CR,FIRE_PROT_HFC125,,,,,,,,,,1
OperationalLife,BAU,CR,AEROSOLS_HFC152a,,,,,,,,,,1
OperationalLife,BAU,CR,FLUOR_GLASS_HFC152a,,,,,,,,,,1
OperationalLife,BAU,CR,SF6_USE,,,,,,,,,,1
OperationalLife,BAU,CR,PROD_CLK_TRAD,,,,,,,,,,1
OperationalLife,BAU,CR,PROD_CEM,,,,,,,,,,1
OperationalLife,BAU,CR,T5CEM_PRODIND,,,,,,,,,,1
OperationalLife,BAU,CR,T5LIME_PRODIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5GLASS_PRODIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5CARBONATEIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5NITRIC_ACIDIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5CARBIDE_PRODIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5LUBRI_OILSIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5LUBRI_GREASEIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5PARAFFINIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5REFR_AC_HFC32IPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5REFR_AC_HFC125IPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5REFR_AC_HFC134aIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5REFR_AC_HFC143aIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5REFR_AC_HFC152aIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5REFR_AC_HFC23IPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5FIRE_PROT_HFC125IPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5AEROSOLS_HFC152aIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5FLUOR_GLASS_HFC152aIPPU,,,,,,,,,,1
OperationalLife,BAU,CR,T5SF6_USEIPPU,,,,,,,,,,1
