PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2018,,,,,,0.0
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2019,,,,,,0.0
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2020,,,,,,1817.6601
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2021,,,,,,2096.373
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2022,,,,,,1993.3068
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2023,,,,,,2262.3757
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2024,,,,,,2340.63
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2025,,,,,,2407.5822
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2026,,,,,,2479.5845
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2027,,,,,,2496.8521
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2028,,,,,,2512.9477
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2029,,,,,,2527.8145
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2030,,,,,,2541.1253
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2031,,,,,,2552.8577
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2032,,,,,,2563.5363
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2033,,,,,,2573.6109
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2034,,,,,,2583.6096
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2035,,,,,,2593.1113
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2036,,,,,,2602.0322
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2037,,,,,,2610.0238
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2038,,,,,,2617.0438
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2039,,,,,,2623.3466
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2040,,,,,,2628.627
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2041,,,,,,2633.0466
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2042,,,,,,2636.4098
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2043,,,,,,2638.9127
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2044,,,,,,2640.1074
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2045,,,,,,2641.3026
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2046,,,,,,2642.4984
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2047,,,,,,2643.6947
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2048,,,,,,2644.8915
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2049,,,,,,2646.0889
SpecifiedAnnualDemand,BAU,CR,,E5INDCEM_PROD,,,2050,,,,,,2647.2868
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2018,,,,,,0.0
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2019,,,,,,0.0
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2020,,,,,,2.1467
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2021,,,,,,2.1467
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2022,,,,,,2.0412
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2023,,,,,,2.3167
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2024,,,,,,2.3968
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2025,,,,,,2.4654
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2026,,,,,,2.5391
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2027,,,,,,2.5568
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2028,,,,,,2.5733
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2029,,,,,,2.5885
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2030,,,,,,2.6021
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2031,,,,,,2.6141
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2032,,,,,,2.625
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2033,,,,,,2.6353
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2034,,,,,,2.6455
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2035,,,,,,2.6552
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2036,,,,,,2.6643
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2037,,,,,,2.6725
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2038,,,,,,2.6797
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2039,,,,,,2.6862
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2040,,,,,,2.6916
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2041,,,,,,2.6961
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2042,,,,,,2.6995
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2043,,,,,,2.7021
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2044,,,,,,2.7033
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2045,,,,,,2.7045
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2046,,,,,,2.7057
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2047,,,,,,2.7069
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2048,,,,,,2.7081
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2049,,,,,,2.7093
SpecifiedAnnualDemand,BAU,CR,,E5IPPULIME_PROD,,,2050,,,,,,2.7105
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2018,,,,,,0.0
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2019,,,,,,0.0
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2020,,,,,,109.619
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2021,,,,,,135.4762
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2022,,,,,,140.0796
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2023,,,,,,151.8459
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2024,,,,,,160.1311
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2025,,,,,,166.8944
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2026,,,,,,173.5492
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2027,,,,,,178.6991
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2028,,,,,,183.6078
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2029,,,,,,188.2364
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2030,,,,,,192.46
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2031,,,,,,196.2464
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2032,,,,,,199.7444
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2033,,,,,,203.0893
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2034,,,,,,206.4514
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2035,,,,,,209.6867
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2036,,,,,,212.7605
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2037,,,,,,215.5449
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2038,,,,,,218.0152
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2039,,,,,,220.2525
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2040,,,,,,222.1416
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2041,,,,,,223.7331
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2042,,,,,,224.9508
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2043,,,,,,225.8608
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2044,,,,,,226.2965
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2045,,,,,,226.733
SpecifiedAnnualDemand,BAU,CR,,E5IPPUGLASS_PROD,,,2046,,,,,,227.1704
