PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2018,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2019,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2020,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2021,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2022,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2023,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2024,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2025,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2026,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2027,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2028,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2029,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2030,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2031,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2032,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2033,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2034,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2035,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2036,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2037,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2038,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2039,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2040,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2041,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2042,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2043,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2044,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2045,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2046,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2047,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2048,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2049,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC32,,,,2050,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2018,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2019,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2020,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2021,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2022,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2023,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2024,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2025,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2026,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2027,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2028,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2029,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2030,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2031,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2032,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2033,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2034,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2035,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2036,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2037,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2038,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2039,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2040,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2041,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2042,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2043,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2044,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2045,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2046,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2047,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2048,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2049,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC125,,,,2050,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2018,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2019,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2020,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2021,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2022,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2023,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2024,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2025,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2026,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2027,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2028,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2029,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2030,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2031,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2032,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2033,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2034,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2035,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2036,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2037,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2038,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2039,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2040,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2041,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2042,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2043,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2044,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2045,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2046,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2047,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2048,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2049,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC134a,,,,2050,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2018,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2019,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2020,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2021,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2022,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2023,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2024,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2025,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2026,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2027,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2028,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2029,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2030,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2031,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2032,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2033,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2034,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2035,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2036,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2037,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2038,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2039,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2040,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2041,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2042,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2043,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2044,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2045,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2046,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2047,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2048,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2049,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC143a,,,,2050,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2018,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2019,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2020,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2021,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2022,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2023,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2024,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2025,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2026,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2027,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2028,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2029,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2030,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2031,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2032,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2033,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2034,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2035,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2036,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2037,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2038,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2039,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2040,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2041,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2042,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2043,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2044,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2045,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2046,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2047,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2048,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2049,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC152a,,,,2050,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2018,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2019,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2020,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2021,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2022,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2023,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2024,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2025,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2026,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2027,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2028,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2029,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2030,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2031,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2032,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2033,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2034,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2035,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2036,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2037,,,,,,0.0
CapitalCost,NDCcond,CR,REFR_AC_HFC23,,,,2038,,,,,,0.0
