PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMP_STOR,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2020,,,,,,2.1467
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2021,,,,,,2.1467
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2022,,,,,,2.0412
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2023,,,,,,2.3167
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2024,,,,,,2.3968
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2025,,,,,,2.4654
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2026,,,,,,2.5391
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2027,,,,,,2.5568
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2028,,,,,,2.5733
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2029,,,,,,2.5885
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2030,,,,,,2.6021
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2031,,,,,,2.6141
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2032,,,,,,2.625
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2033,,,,,,2.6353
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2034,,,,,,2.6455
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2035,,,,,,2.6552
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2036,,,,,,2.6643
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2037,,,,,,2.6725
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2038,,,,,,2.6797
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,LIME_PROD,,,,2039,,,,,,2.6862
