PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2018,,,,,,717.3143
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2019,,,,,,778.2504
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2020,,,,,,782.9638
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2021,,,,,,799.7325
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2022,,,,,,916.3308
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2023,,,,,,921.8961
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2024,,,,,,927.0924
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2025,,,,,,931.9322
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2026,,,,,,898.5316
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2027,,,,,,883.3022
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2028,,,,,,868.0729
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2029,,,,,,852.8435
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2030,,,,,,837.6142
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2031,,,,,,822.3848
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2032,,,,,,807.1555
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2033,,,,,,791.9261
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2034,,,,,,776.6968
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2035,,,,,,761.4674
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2036,,,,,,746.2381
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2037,,,,,,731.0087
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2038,,,,,,715.7794
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2039,,,,,,700.55
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2040,,,,,,685.3207
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2041,,,,,,670.0913
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2042,,,,,,654.862
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2043,,,,,,639.6326
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2044,,,,,,624.4033
ResidualCapacity,NDCincond,CR,PTAR_OLD,,,,2045,,,,,,609.1739
