PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2018,,,,,,1462.3970000000002
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2019,,,,,,1343.608
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2020,,,,,,1459.288
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2021,,,,,,1618.5330000000001
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2022,,,,,,1615.7589999999998
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2023,,,,,,1710.352
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2024,,,,,,1801.0566
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2025,,,,,,1895.7880999999998
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2026,,,,,,1994.8781999999999
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2027,,,,,,2098.5701
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2028,,,,,,2206.8956000000003
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2029,,,,,,2319.9982
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2030,,,,,,2437.8468
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2031,,,,,,2560.5808
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2032,,,,,,2688.7204
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2033,,,,,,2822.7987000000003
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2034,,,,,,2963.4750000000004
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2035,,,,,,3110.7341
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2036,,,,,,3264.7964
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2037,,,,,,3425.6505
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2038,,,,,,3593.5195000000003
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2039,,,,,,3768.9110000000005
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2040,,,,,,3951.8252
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2041,,,,,,4142.7047999999995
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2042,,,,,,4341.6389
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2043,,,,,,4549.1348
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2044,,,,,,4764.9745
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2045,,,,,,4989.329699999999
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2046,,,,,,5222.1675
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2047,,,,,,5463.9286
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2048,,,,,,5714.4567
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2049,,,,,,5973.993399999999
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWTSW,,,2050,,,,,,6242.5618
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2018,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2019,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2020,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2021,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2022,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2023,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2024,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2025,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2026,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2027,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2028,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2029,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2030,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2031,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2032,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2033,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2034,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2035,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2036,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2037,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2038,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2039,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2040,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2041,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2042,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2043,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2044,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2045,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2046,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2047,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2048,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2049,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWLANDFILL_ELEC,,,2050,,,,,,15000.0
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2018,,,,,,395.5784
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2019,,,,,,363.446
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2020,,,,,,394.7374
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2021,,,,,,437.8132
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2022,,,,,,437.0628
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2023,,,,,,462.6502
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2024,,,,,,487.1858
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2025,,,,,,512.8107
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2026,,,,,,539.6145
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2027,,,,,,567.6632
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2028,,,,,,596.9652
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2029,,,,,,627.5595
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2030,,,,,,659.4375
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2031,,,,,,692.6371
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2032,,,,,,727.2988
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2033,,,,,,763.567
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2034,,,,,,801.62
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2035,,,,,,841.4535
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2036,,,,,,883.1274
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2037,,,,,,926.6384
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2038,,,,,,972.047
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2039,,,,,,1019.4904
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2040,,,,,,1068.9687
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2041,,,,,,1120.6016
SpecifiedAnnualDemand,NDCincond,CR,,E5TSWIND_SW,,,2042,,,,,,1174.4133
