PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,CR,INORG_RCY_OS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,AD,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,COMPOST,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,LANDFILL,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NO_CONTR_OD,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,COPROC,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,INCIN,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,GAS_MSW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,HTC,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,OPEN_BURN,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,SIT_CLAN,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,LANDFILL_ELEC,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,IND_SW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,CO2_CH4_BURN,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,PTAR_OLD,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,PTAR_NEW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,SEWER_NO_T,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,SEPT_SYST,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,LATR,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T_CATTLE,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NT_CATTLE,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T_PIGS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NT_PIGS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T_POULTRY,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NT_POULTRY,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T_COFEE,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NT_COFFE,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T_SUGARCANE,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NT_SUGARCANE,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T_PALM,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NT_PALM,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,OSS_INORG,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,OSS_ORG,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NO_OSS_BLEND,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NO_OSS_NO_COLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,INORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,ORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,BLEND_NO_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,BLEND_NO_COLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,INORG_SS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,ORG_SS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NO_SS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,SEWERWW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DIRECT_DISC,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5TSWTSW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5LANDFILL_ELECTSW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5IND_SWTSW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5CO2_CH4_BURNTSW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5TWWWW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5CATTLEWW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5PIGSWW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5POULTRYWW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5COFFEWW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5SUGARCANEWW,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5PALMWW,,,,,,,,,,1
