PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,CR,INORG_RCY_OS,,,,,,,,,,1
OperationalLife,BAU,CR,AD,,,,,,,,,,1
OperationalLife,BAU,CR,COMPOST,,,,,,,,,,1
OperationalLife,BAU,CR,LANDFILL,,,,,,,,,,1
OperationalLife,BAU,CR,NO_CONTR_OD,,,,,,,,,,1
OperationalLife,BAU,CR,COPROC,,,,,,,,,,1
OperationalLife,BAU,CR,INCIN,,,,,,,,,,1
OperationalLife,BAU,CR,GAS_MSW,,,,,,,,,,1
OperationalLife,BAU,CR,HTC,,,,,,,,,,1
OperationalLife,BAU,CR,OPEN_BURN,,,,,,,,,,1
OperationalLife,BAU,CR,SIT_CLAN,,,,,,,,,,1
OperationalLife,BAU,CR,LANDFILL_ELEC,,,,,,,,,,1
OperationalLife,BAU,CR,IND_SW,,,,,,,,,,1
OperationalLife,BAU,CR,CO2_CH4_BURN,,,,,,,,,,1
OperationalLife,BAU,CR,PTAR_OLD,,,,,,,,,,60
OperationalLife,BAU,CR,PTAR_NEW,,,,,,,,,,60
OperationalLife,BAU,CR,SEWER_NO_T,,,,,,,,,,1
OperationalLife,BAU,CR,SEPT_SYST,,,,,,,,,,20
OperationalLife,BAU,CR,LATR,,,,,,,,,,20
OperationalLife,BAU,CR,T_CATTLE,,,,,,,,,,1
OperationalLife,BAU,CR,NT_CATTLE,,,,,,,,,,1
OperationalLife,BAU,CR,T_PIGS,,,,,,,,,,1
OperationalLife,BAU,CR,NT_PIGS,,,,,,,,,,1
OperationalLife,BAU,CR,T_POULTRY,,,,,,,,,,1
OperationalLife,BAU,CR,NT_POULTRY,,,,,,,,,,1
OperationalLife,BAU,CR,T_COFEE,,,,,,,,,,1
OperationalLife,BAU,CR,NT_COFFE,,,,,,,,,,1
OperationalLife,BAU,CR,T_SUGARCANE,,,,,,,,,,1
OperationalLife,BAU,CR,NT_SUGARCANE,,,,,,,,,,1
OperationalLife,BAU,CR,T_PALM,,,,,,,,,,1
OperationalLife,BAU,CR,NT_PALM,,,,,,,,,,1
OperationalLife,BAU,CR,OSS_INORG,,,,,,,,,,1
OperationalLife,BAU,CR,OSS_ORG,,,,,,,,,,1
OperationalLife,BAU,CR,NO_OSS_BLEND,,,,,,,,,,1
OperationalLife,BAU,CR,NO_OSS_NO_COLL,,,,,,,,,,1
OperationalLife,BAU,CR,INORG_DCOLL,,,,,,,,,,1
OperationalLife,BAU,CR,ORG_DCOLL,,,,,,,,,,1
OperationalLife,BAU,CR,BLEND_NO_DCOLL,,,,,,,,,,1
OperationalLife,BAU,CR,BLEND_NO_COLL,,,,,,,,,,1
OperationalLife,BAU,CR,INORG_SS,,,,,,,,,,1
OperationalLife,BAU,CR,ORG_SS,,,,,,,,,,1
OperationalLife,BAU,CR,NO_SS,,,,,,,,,,1
OperationalLife,BAU,CR,SEWERWW,,,,,,,,,,60
OperationalLife,BAU,CR,DIRECT_DISC,,,,,,,,,,1
OperationalLife,BAU,CR,T5TSWTSW,,,,,,,,,,1
OperationalLife,BAU,CR,T5LANDFILL_ELECTSW,,,,,,,,,,1
OperationalLife,BAU,CR,T5IND_SWTSW,,,,,,,,,,1
OperationalLife,BAU,CR,T5CO2_CH4_BURNTSW,,,,,,,,,,1
OperationalLife,BAU,CR,T5TWWWW,,,,,,,,,,1
OperationalLife,BAU,CR,T5CATTLEWW,,,,,,,,,,1
OperationalLife,BAU,CR,T5PIGSWW,,,,,,,,,,1
OperationalLife,BAU,CR,T5POULTRYWW,,,,,,,,,,1
OperationalLife,BAU,CR,T5COFFEWW,,,,,,,,,,1
OperationalLife,BAU,CR,T5SUGARCANEWW,,,,,,,,,,1
OperationalLife,BAU,CR,T5PALMWW,,,,,,,,,,1
