PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2018,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2019,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2020,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2021,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2022,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2023,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2024,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2025,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2026,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2027,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2028,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2029,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2030,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2031,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2032,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2033,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2034,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2035,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2036,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2037,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2038,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2039,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2040,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2041,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2042,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2043,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2044,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2045,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2046,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2047,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2048,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2049,,,,,,0.038
VariableCost,BAU,CR,INORG_RCY_OS,,,1,2050,,,,,,0.038
VariableCost,BAU,CR,AD,,,1,2018,,,,,,0.06
VariableCost,BAU,CR,AD,,,1,2019,,,,,,0.06
VariableCost,BAU,CR,AD,,,1,2020,,,,,,0.06
VariableCost,BAU,CR,AD,,,1,2021,,,,,,0.06
VariableCost,BAU,CR,AD,,,1,2022,,,,,,0.06
VariableCost,BAU,CR,AD,,,1,2023,,,,,,0.06
