PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDCcond,CR,INORG_RCY_OS,,,,,,,,,,1
OperationalLife,NDCcond,CR,AD,,,,,,,,,,1
OperationalLife,NDCcond,CR,COMPOST,,,,,,,,,,1
OperationalLife,NDCcond,CR,LANDFILL,,,,,,,,,,1
OperationalLife,NDCcond,CR,NO_CONTR_OD,,,,,,,,,,1
OperationalLife,NDCcond,CR,COPROC,,,,,,,,,,1
OperationalLife,NDCcond,CR,INCIN,,,,,,,,,,1
OperationalLife,NDCcond,CR,GAS_MSW,,,,,,,,,,1
OperationalLife,NDCcond,CR,HTC,,,,,,,,,,1
OperationalLife,NDCcond,CR,OPEN_BURN,,,,,,,,,,1
OperationalLife,NDCcond,CR,SIT_CLAN,,,,,,,,,,1
OperationalLife,NDCcond,CR,LANDFILL_ELEC,,,,,,,,,,1
OperationalLife,NDCcond,CR,IND_SW,,,,,,,,,,1
OperationalLife,NDCcond,CR,CO2_CH4_BURN,,,,,,,,,,1
OperationalLife,NDCcond,CR,PTAR_OLD,,,,,,,,,,60
OperationalLife,NDCcond,CR,PTAR_NEW,,,,,,,,,,60
OperationalLife,NDCcond,CR,SEWER_NO_T,,,,,,,,,,1
OperationalLife,NDCcond,CR,SEPT_SYST,,,,,,,,,,20
OperationalLife,NDCcond,CR,LATR,,,,,,,,,,20
OperationalLife,NDCcond,CR,T_CATTLE,,,,,,,,,,1
OperationalLife,NDCcond,CR,NT_CATTLE,,,,,,,,,,1
OperationalLife,NDCcond,CR,T_PIGS,,,,,,,,,,1
OperationalLife,NDCcond,CR,NT_PIGS,,,,,,,,,,1
OperationalLife,NDCcond,CR,T_POULTRY,,,,,,,,,,1
OperationalLife,NDCcond,CR,NT_POULTRY,,,,,,,,,,1
OperationalLife,NDCcond,CR,T_COFEE,,,,,,,,,,1
OperationalLife,NDCcond,CR,NT_COFFE,,,,,,,,,,1
OperationalLife,NDCcond,CR,T_SUGARCANE,,,,,,,,,,1
OperationalLife,NDCcond,CR,NT_SUGARCANE,,,,,,,,,,1
OperationalLife,NDCcond,CR,T_PALM,,,,,,,,,,1
OperationalLife,NDCcond,CR,NT_PALM,,,,,,,,,,1
OperationalLife,NDCcond,CR,OSS_INORG,,,,,,,,,,1
OperationalLife,NDCcond,CR,OSS_ORG,,,,,,,,,,1
OperationalLife,NDCcond,CR,NO_OSS_BLEND,,,,,,,,,,1
OperationalLife,NDCcond,CR,NO_OSS_NO_COLL,,,,,,,,,,1
OperationalLife,NDCcond,CR,INORG_DCOLL,,,,,,,,,,1
OperationalLife,NDCcond,CR,ORG_DCOLL,,,,,,,,,,1
OperationalLife,NDCcond,CR,BLEND_NO_DCOLL,,,,,,,,,,1
OperationalLife,NDCcond,CR,BLEND_NO_COLL,,,,,,,,,,1
OperationalLife,NDCcond,CR,INORG_SS,,,,,,,,,,1
OperationalLife,NDCcond,CR,ORG_SS,,,,,,,,,,1
OperationalLife,NDCcond,CR,NO_SS,,,,,,,,,,1
OperationalLife,NDCcond,CR,SEWERWW,,,,,,,,,,60
OperationalLife,NDCcond,CR,DIRECT_DISC,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5TSWTSW,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5LANDFILL_ELECTSW,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5IND_SWTSW,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5CO2_CH4_BURNTSW,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5TWWWW,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5CATTLEWW,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5PIGSWW,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5POULTRYWW,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5COFFEWW,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5SUGARCANEWW,,,,,,,,,,1
OperationalLife,NDCcond,CR,T5PALMWW,,,,,,,,,,1
