PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2018,,,,,,53.473
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2019,,,,,,39.827
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2020,,,,,,45.511
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2021,,,,,,63.917
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2022,,,,,,75.983
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2023,,,,,,142.201
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2024,,,,,,142.201
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2025,,,,,,142.201
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2026,,,,,,149.3111
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2027,,,,,,156.4211
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2028,,,,,,158.7911
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2029,,,,,,161.1611
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2030,,,,,,163.5312
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2031,,,,,,167.7972
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2032,,,,,,172.0632
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2033,,,,,,176.3292
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2034,,,,,,180.5953
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2035,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2036,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2037,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2038,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2039,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2040,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2041,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2042,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2043,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2044,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2045,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2046,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2047,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2048,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2049,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,INORG_RCY_OS,,,,2050,,,,,,184.8613
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,AD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,AD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,AD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,AD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCcond,CR,AD,,,,2022,,,,,,0.0
