Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
NDCcond,0,,INORG_RCY_OS,,2018,,53.473,53.473,53.473,53.473,,,4.01048,4.01048,,,2.03197,1.983,2.03197,,5.99348,,,,,,,,,,,,,5.6431,,2.8592,2.8592,,nan,,nan,nan,
NDCcond,0,,INORG_RCY_OS,,2019,,39.827,39.827,39.827,39.827,,,2.98702,2.84479,,,1.51343,1.40662,1.51343,,4.25141,,,,3.8147e-06,3.8147e-06,,,,,,,,4.0029,,2.0281,2.0281,,nan,,nan,nan,
NDCcond,0,,INORG_RCY_OS,,2020,,45.511,45.511,45.511,45.511,,,3.41333,3.09599,,,1.72942,1.53083,1.72942,,4.62681,,,,1.90735e-06,1.90735e-06,,,,,,,,4.3564,,2.2072,2.2072,,nan,,nan,nan,
NDCcond,0,,INORG_RCY_OS,,2021,,63.917,63.917,63.917,63.917,,,4.79378,4.14104,,,2.42885,2.04756,2.42885,,6.18861,,,,1.90735e-06,1.90735e-06,,,,,,,,5.8269,,2.9523,2.9523,,nan,,nan,nan,
NDCcond,0,,INORG_RCY_OS,,2022,,75.983,75.983,75.983,75.983,,,5.69873,4.68836,,,2.88735,2.31819,2.88735,,7.00654,,,,-3.8147e-06,-1.90735e-06,,,,,,,,6.597,,3.3425,3.3425,,nan,,nan,nan,
NDCcond,0,,INORG_RCY_OS,,2023,,142.201,142.201,142.201,142.201,,,10.6651,8.35637,,,5.40364,4.13186,5.40364,,12.4882,,,,1.90735e-06,,,,,,,,,11.7583,,5.9575,5.9575,,nan,,nan,nan,
NDCcond,0,,INORG_RCY_OS,,2024,,142.201,142.201,142.201,142.201,,,10.6651,7.95844,,,5.40364,3.9351,5.40364,,11.8935,,,,1.90735e-06,1.90735e-06,,,,,,,,11.1984,,5.6738,5.6738,,nan,,nan,nan,
NDCcond,0,,INORG_RCY_OS,,2025,,142.201,142.201,142.201,142.201,,,10.6651,7.57947,,,5.40364,3.74771,5.40364,,11.3272,,,,,,,,,,,,,10.6651,,5.4036,5.4036,,nan,,nan,nan,
NDCcond,0,,INORG_RCY_OS,,2026,,149.311,149.311,149.311,149.311,,,11.1983,7.57947,,,5.67382,3.74771,5.67382,,11.3272,,,,1.90735e-06,1.90735e-06,,,,,,,,10.665,,5.4036,5.4036,,nan,,nan,nan,
NDCcond,0,,INORG_RCY_OS,,2027,,156.421,156.421,156.421,156.421,,,11.7316,7.56228,,,5.944,3.73922,5.944,,11.3015,,,,,,,,,,,,,10.6409,,5.3914,5.3914,,nan,,nan,nan,
