PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2018,,,,,,0.05650125943720073
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2019,,,,,,0.0696698454702624
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2020,,,,,,0.06611662332318693
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2021,,,,,,0.06838463061544522
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2022,,,,,,0.07198369407970637
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2023,,,,,,0.07166242320695078
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2024,,,,,,0.07410984478353685
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2025,,,,,,0.07656363438453616
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2026,,,,,,0.07888151662201819
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2027,,,,,,0.08123312964096853
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2028,,,,,,0.0837264794902984
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2029,,,,,,0.08612660325266938
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2030,,,,,,0.08851584536251716
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2031,,,,,,0.09068183363987237
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2032,,,,,,0.09288834828310628
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2033,,,,,,0.09513591674323968
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2034,,,,,,0.09742507036546995
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2035,,,,,,0.09975634439623271
SpecifiedAnnualDemand,BAU,RD,,E5COMDSL,,,2036,,,,,,0.1017238258029084
