PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2018,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2019,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2020,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2021,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2022,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2023,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2024,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2025,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2026,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2027,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2028,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2029,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2030,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2031,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2032,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2033,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2034,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2035,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2036,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2037,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2038,All,,,,,1.0
CapacityFactor,BAU,RD,PROD_CLK_TRAD,,,,2039,All,,,,,1.0
