PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2018,,,,,,5.4296
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2019,,,,,,5.6442
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2020,,,,,,5.169
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2021,,,,,,6.5624
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2022,,,,,,6.5347
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2023,,,,,,6.6716
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2024,,,,,,6.9195
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2025,,,,,,7.1687
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2026,,,,,,7.4047
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2027,,,,,,7.6449
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2028,,,,,,7.9001
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2029,,,,,,8.1464
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2030,,,,,,8.3923
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2031,,,,,,8.6156
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2032,,,,,,8.8437
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2033,,,,,,9.0764
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2034,,,,,,9.314
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2035,,,,,,9.5564
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2036,,,,,,9.7614
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2037,,,,,,9.9699
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2038,,,,,,10.1818
SpecifiedAnnualDemand,BAU,RD,,E5INDCEM_PROD,,,2039,,,,,,10.3973
