PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2018,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2019,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2020,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2021,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2022,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2023,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2024,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2025,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2026,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2027,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2028,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2029,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2030,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2031,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2032,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2033,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2034,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2035,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2036,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2037,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2038,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2039,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2040,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2041,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2042,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2043,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2044,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2045,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2046,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2047,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2048,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2049,,,,,,75.0
CapitalCost,BAU,RD,INORG_RCY_OS,,,,2050,,,,,,75.0
CapitalCost,BAU,RD,AD,,,,2018,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2019,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2020,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2021,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2022,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2023,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2024,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2025,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2026,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2027,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2028,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2029,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2030,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2031,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2032,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2033,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2034,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2035,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2036,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2037,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2038,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2039,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2040,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2041,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2042,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2043,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2044,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2045,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2046,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2047,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2048,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2049,,,,,,250.0
CapitalCost,BAU,RD,AD,,,,2050,,,,,,250.0
CapitalCost,BAU,RD,COMPOST,,,,2018,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2019,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2020,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2021,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2022,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2023,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2024,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2025,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2026,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2027,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2028,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2029,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2030,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2031,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2032,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2033,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2034,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2035,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2036,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2037,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2038,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2039,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2040,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2041,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2042,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2043,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2044,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2045,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2046,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2047,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2048,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2049,,,,,,80.0
CapitalCost,BAU,RD,COMPOST,,,,2050,,,,,,80.0
CapitalCost,BAU,RD,LANDFILL,,,,2018,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2019,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2020,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2021,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2022,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2023,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2024,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2025,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2026,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2027,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2028,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2029,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2030,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2031,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2032,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2033,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2034,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2035,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2036,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2037,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2038,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2039,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2040,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2041,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2042,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2043,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2044,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2045,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2046,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2047,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2048,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2049,,,,,,5.0
CapitalCost,BAU,RD,LANDFILL,,,,2050,,,,,,5.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2018,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2019,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2020,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2021,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2022,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2023,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2024,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2025,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2026,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2027,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2028,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2029,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2030,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2031,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2032,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2033,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2034,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2035,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2036,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2037,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2038,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2039,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2040,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2041,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2042,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2043,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2044,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2045,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2046,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2047,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2048,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2049,,,,,,0.0
CapitalCost,BAU,RD,NO_CONTR_OD,,,,2050,,,,,,0.0
CapitalCost,BAU,RD,COPROC,,,,2018,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2019,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2020,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2021,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2022,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2023,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2024,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2025,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2026,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2027,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2028,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2029,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2030,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2031,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2032,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2033,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2034,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2035,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2036,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2037,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2038,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2039,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2040,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2041,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2042,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2043,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2044,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2045,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2046,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2047,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2048,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2049,,,,,,30.0
CapitalCost,BAU,RD,COPROC,,,,2050,,,,,,30.0
CapitalCost,BAU,RD,INCIN,,,,2018,,,,,,700.0
CapitalCost,BAU,RD,INCIN,,,,2019,,,,,,700.0
CapitalCost,BAU,RD,INCIN,,,,2020,,,,,,700.0
CapitalCost,BAU,RD,INCIN,,,,2021,,,,,,700.0
CapitalCost,BAU,RD,INCIN,,,,2022,,,,,,700.0
CapitalCost,BAU,RD,INCIN,,,,2023,,,,,,700.0
CapitalCost,BAU,RD,INCIN,,,,2024,,,,,,700.0
CapitalCost,BAU,RD,INCIN,,,,2025,,,,,,700.0
CapitalCost,BAU,RD,INCIN,,,,2026,,,,,,700.0
