PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,BAU,RD,PTAR_OLD,,,,2018,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2019,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2020,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2021,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2022,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2023,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2024,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2025,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2026,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2027,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2028,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2029,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2030,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2031,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2032,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2033,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2034,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2035,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2036,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2037,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2038,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2039,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2040,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2041,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2042,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2043,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2044,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2045,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2046,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2047,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2048,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2049,,,,,,0.0145
FixedCost,BAU,RD,PTAR_OLD,,,,2050,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2018,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2019,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2020,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2021,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2022,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2023,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2024,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2025,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2026,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2027,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2028,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2029,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2030,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2031,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2032,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2033,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2034,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2035,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2036,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2037,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2038,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2039,,,,,,0.0145
FixedCost,BAU,RD,PTAR_NEW,,,,2040,,,,,,0.0145
