PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2036,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2037,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2038,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2039,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2040,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2041,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2042,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2043,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2044,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2045,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2046,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2047,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2048,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2049,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWTSW,,,2050,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2036,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2037,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2038,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2039,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5TSWLANDFILL_ELEC,,,2040,All,,,,,1
