PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2018,,,,,,0.2233
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2019,,,,,,0.224
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2020,,,,,,0.2317
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2021,,,,,,0.2394
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2022,,,,,,0.2443
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2023,,,,,,0.2532
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2024,,,,,,0.2605
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2025,,,,,,0.2678
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2026,,,,,,0.2747
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2027,,,,,,0.2816
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2028,,,,,,0.289
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2029,,,,,,0.296
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2030,,,,,,0.3029
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2031,,,,,,0.3092
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2032,,,,,,0.3156
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2033,,,,,,0.3221
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2034,,,,,,0.3287
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2035,,,,,,0.3353
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2036,,,,,,0.3409
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2037,,,,,,0.3466
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2038,,,,,,0.3524
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2039,,,,,,0.3582
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2040,,,,,,0.3641
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2041,,,,,,0.3688
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2042,,,,,,0.3736
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2043,,,,,,0.3785
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2044,,,,,,0.3834
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2045,,,,,,0.3884
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2046,,,,,,0.3922
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2047,,,,,,0.3961
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2048,,,,,,0.4
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2049,,,,,,0.4039
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,INORG_RCY_OS,,,,2050,,,,,,0.4078
TotalTechnologyAnnualActivityUpperLimit,BAU,RD,AD,,,,2018,,,,,,0.0
