PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDCINC,ECU,IMP_ELE,,,,,,,,,,1
OperationalLife,NDCINC,ECU,SOIALL,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPARR,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPBAN,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPCOC,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPCOF,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPSUG,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPMAI,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPSOY,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPPAF,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPPAL,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPLEG,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPCER,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPTUB,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPFRT,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPVEG,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPFLO,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPBOV,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPBUF,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPOVE,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPCBR,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPCAM,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPCAB,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPMUL,,,,,,,,,,1
OperationalLife,NDCINC,ECU,IMPPOR,,,,,,,,,,1
