PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2010,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2011,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2012,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2013,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2014,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2015,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2016,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2017,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMDSL,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMELE,,,2010,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMELE,,,2011,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMELE,,,2012,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMELE,,,2013,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMELE,,,2014,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMELE,,,2015,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMELE,,,2016,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMELE,,,2017,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMELE,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5COMELE,,,2019,All,,,,,1
