PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2010,,,,,,1.0
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2011,,,,,,1.01
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2012,,,,,,1.02
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2013,,,,,,1.03
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2014,,,,,,1.04
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2015,,,,,,1.05
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2016,,,,,,1.06
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2017,,,,,,1.07
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2018,,,,,,1.08
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2019,,,,,,1.09
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2020,,,,,,1.1
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2021,,,,,,1.11
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2022,,,,,,1.12
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2023,,,,,,1.13
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2024,,,,,,1.14
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2025,,,,,,1.15
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2026,,,,,,1.16
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2027,,,,,,1.17
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2028,,,,,,1.18
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2029,,,,,,1.19
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2030,,,,,,1.2
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2031,,,,,,1.21
TotalAnnualMaxCapacity,BAU,ECU,Techs_Rail,,,,2032,,,,,,1.22
