PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityFactor,BAU,ECU,DIST_BGS,,,,2010,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2011,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2012,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2013,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2014,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2015,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2016,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2017,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2018,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2019,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2020,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2021,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2022,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2023,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2024,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2025,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2026,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2027,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2028,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2029,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2030,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2031,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2032,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2033,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2034,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BGS,,,,2035,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2010,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2011,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2012,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2013,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2014,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2015,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2016,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2017,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2018,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2019,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2020,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2021,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2022,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2023,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2024,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2025,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2026,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2027,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2028,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2029,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2030,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2031,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2032,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2033,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2034,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_BIM,,,,2035,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2010,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2011,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2012,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2013,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2014,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2015,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2016,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2017,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2018,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2019,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2020,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2021,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2022,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2023,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2024,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2025,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2026,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2027,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2028,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2029,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2030,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2031,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2032,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2033,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2034,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_CHA,,,,2035,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_FIR,,,,2010,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_FIR,,,,2011,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_FIR,,,,2012,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_FIR,,,,2013,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_FIR,,,,2014,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_FIR,,,,2015,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_FIR,,,,2016,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_FIR,,,,2017,All,,,,,1.0
CapacityFactor,BAU,ECU,DIST_FIR,,,,2018,All,,,,,1.0
