PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,BAU,ECU,DIST_BGS,,,,2010,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2011,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2012,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2013,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2014,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2015,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2016,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2017,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2018,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2019,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2020,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2021,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2022,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2023,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2024,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2025,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2026,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2027,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2028,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2029,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2030,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2031,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2032,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2033,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2034,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BGS,,,,2035,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BIM,,,,2010,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BIM,,,,2011,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BIM,,,,2012,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BIM,,,,2013,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BIM,,,,2014,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BIM,,,,2015,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BIM,,,,2016,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BIM,,,,2017,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BIM,,,,2018,,,,,,1.0
CapitalCost,BAU,ECU,DIST_BIM,,,,2019,,,,,,1.0
