Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,DIST_DSL,,2010,,103.481,103.481,103.481,103.481,,,103.481,103.481,,,206.962,201.974,103.481,103.481,305.455,,,,,,,,,,,,,216.3622,216.3622,216.3622,432.7243,,0.0014373232488330717,0.0014373232488330717,0.0014373232488330717,0.0028746464976661433,
BAU,0,,DIST_DSL,,2011,,87.8867,87.8867,87.8867,87.8867,,,87.8867,83.7016,,,175.773,163.369,87.8867,87.8867,247.07,,,,,,,,,,,,,174.94,174.94,174.94,349.8792,,0.0011851675897279535,0.0011851675897279535,0.0011851675897279535,0.0023703297853856337,
BAU,0,,DIST_DSL,,2012,,96.8319,96.8319,96.8319,96.8319,,,96.8319,87.8294,,,193.664,171.425,96.8319,96.8319,259.255,,,,,,,,,,,,,183.4973,183.4973,183.4973,366.995,,0.0012677623138353984,0.0012677623138353984,0.0012677623138353984,0.0025355272461515116,
BAU,0,,DIST_DSL,,2013,,116.153,116.153,116.153,116.153,,,116.153,100.337,,,232.306,195.838,116.153,116.153,296.175,,,,,,,,,,,,,209.5497,209.5497,209.5497,419.0993,,0.0014764290801636453,0.0014764290801636453,0.0014764290801636453,0.0029528581603272906,
BAU,0,,DIST_DSL,,2014,,129.167,129.167,129.167,129.167,,,129.167,106.266,,,258.335,207.411,129.167,129.167,313.677,,,,,,,,,,,,,221.8469,221.8469,221.8469,443.6956,,0.0015940300619353628,0.0015940300619353628,0.0015940300619353628,0.003188072464716777,
BAU,0,,DIST_DSL,,2015,,128.917,128.917,128.917,128.917,,,128.917,101.01,,,257.833,197.151,128.917,128.917,298.16,,,,,,,,,,,,,210.7936,210.7936,210.7936,421.5855,,0.0015446066508956167,0.0015446066508956167,0.0015446066508956167,0.0030892013203873,
BAU,0,,DIST_DSL,,2016,,99.2463,99.2463,99.2463,99.2463,,,99.2463,74.0591,,,198.493,144.549,99.2463,99.2463,218.608,,,,,,,,,,,,,154.4923,154.4923,154.4923,308.9852,,0.001154475737092991,0.001154475737092991,0.001154475737092991,0.0023089561271583837,
BAU,0,,DIST_DSL,,2017,,96.4917,96.4917,96.4917,96.4917,,,96.4917,68.5749,,,192.983,133.844,96.4917,96.4917,202.419,,,,,,,,,,,,,142.9972,142.9972,142.9972,285.9939,,0.0010897408181077847,0.0010897408181077847,0.0010897408181077847,0.0021794771187666363,
BAU,0,,DIST_DSL,,2018,,110.084,110.084,110.084,110.084,,,110.084,74.5091,,,220.168,145.427,110.084,110.084,219.936,,,,,,,,,,,,,155.3128,155.3128,155.3128,310.6256,,0.0012070360397573446,0.0012070360397573446,0.0012070360397573446,0.0024140720795146893,
BAU,0,,DIST_DSL,,2019,,120.504,120.504,120.504,120.504,,,120.504,77.6782,,,241.009,151.612,120.504,120.504,229.291,,,,,,,,,,,,,161.8563,161.8563,161.8563,323.714,,0.00128280390768602,0.00128280390768602,0.00128280390768602,0.0025656184606942505,
