PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,ECU,IMP_ELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,FORBUR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,SUPCAMCROAND,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMCROPLU,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMCROMON,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMCROPIE,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMCROCEJ,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMCROAMA,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMCROCHO,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMCROMAN,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMCROMOR,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMCROPFO,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMGRAAND,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMGRAPLU,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMGRAMON,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMGRAPIE,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMGRACEJ,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMGRAAMA,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMGRACHO,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMGRAMAN,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMGRAMOR,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMGRAPFO,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMHUMAND,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMHUMPLU,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMHUMMON,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMHUMPIE,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMHUMCEJ,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMHUMAMA,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMHUMCHO,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMHUMMAN,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMHUMMOR,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMHUMPFO,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMOTIAND,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMOTIPLU,,,,,,,,,,
CapacityToActivityUnit,BAU,ECU,SUPCAMOTIMON,,,,,,,,,,
