PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2010,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2011,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2012,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2013,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2014,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2015,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2016,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2017,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5INDCEM_PROD,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5IPPUREFR_AC,,,2010,All,,,,,1
