PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2010,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2011,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2012,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2013,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2014,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2015,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2016,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2017,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_STOR,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2010,,,,,,0.2149
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2011,,,,,,0.252
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2012,,,,,,0.2891
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2013,,,,,,0.3318
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2014,,,,,,0.3745
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2015,,,,,,0.4237
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2016,,,,,,0.4729
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2017,,,,,,0.496
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2018,,,,,,0.5191
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2019,,,,,,0.8611
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2020,,,,,,1.203
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2021,,,,,,1.3251
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2022,,,,,,1.9576
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2023,,,,,,2.384
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2024,,,,,,2.8103
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2025,,,,,,3.2367
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2026,,,,,,3.6631
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2027,,,,,,4.0895
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2028,,,,,,4.5159
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2029,,,,,,4.9422
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2030,,,,,,5.3686
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2031,,,,,,5.38
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2032,,,,,,5.3913
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2033,,,,,,5.4026
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2034,,,,,,5.414
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_REFR_AC,,,,2035,,,,,,5.4253
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_HFC23,,,,2010,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_HFC23,,,,2011,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,IMP_HFC23,,,,2012,,,,,,0.0
