PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,ECU,IMP_ELE,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SOIALL,,,,,,,,,,1.0
OperationalLife,BAU,ECU,FORBUR,,,,,,,,,,1.0
OperationalLife,BAU,ECU,T4ELE_HEA,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRXTRAIELE,,,,,,,,,,1.0
OperationalLife,BAU,ECU,Techs_Rail,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMEDRESTMAN,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMEDABMOR,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMEDABCHO,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMEDABPIE2,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMEDDEFMOR,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMEDDEFCHO,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMEDDEFPIE2,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMED5DEFPLU,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMED5DEFPIE,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMED5DEFAMA,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMED5DEFMAN,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMED5ABPLU,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMED5ABPIE,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMED5ABAMA,,,,,,,,,,1.0
OperationalLife,BAU,ECU,SUPMED5ABMAN,,,,,,,,,,1.0
