PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2010,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2011,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2012,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2013,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2014,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2015,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2016,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2017,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2018,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2019,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2020,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2021,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2022,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2023,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2024,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2025,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2026,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2027,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2028,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2029,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2030,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2031,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2032,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2033,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2034,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5AGRELE,,,2035,,,,,,0.0
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2010,,,,,,0.50510349
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2011,,,,,,0.50510349
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2012,,,,,,0.50510349
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2013,,,,,,0.50510349
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2014,,,,,,0.50510349
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2015,,,,,,0.49993344
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2016,,,,,,0.49476339
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2017,,,,,,0.49338063
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2018,,,,,,0.49199787
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2019,,,,,,0.4913189129394
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2020,,,,,,0.4906408928395436
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2021,,,,,,0.489963808407425
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2022,,,,,,0.4892876583518227
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2023,,,,,,0.4886124413832972
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2024,,,,,,0.48793815621418823
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2025,,,,,,0.4872648015586126
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2026,,,,,,0.4865923761324617
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2027,,,,,,0.4859208786533989
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2028,,,,,,0.48525030784085715
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2029,,,,,,0.48458066241603676
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2030,,,,,,0.4839119411019026
SpecifiedAnnualDemand,BAU,ECU,,E5COBWET,,,2031,,,,,,0.48324414262318194
