Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,SOIALL,,2010,,5077.06,5077.06,5077.06,5077.06,,,5077.06,5077.06,,,10154.1,9909.41,5077.06,5077.06,14986.5,,,,,,,,,,,,,10615.3176,10615.3176,10615.3176,21230.5934,,0.07051899743644181,0.07051899743644181,0.07051899743644181,0.14103771707826454,
BAU,0,,SOIALL,,2011,,5270.6,5270.6,5270.6,5270.6,,,5270.6,5019.62,,,10541.2,9797.3,5270.6,5270.6,14816.9,,,,,,,,,,,,,10491.2211,10491.2211,10491.2211,20982.4423,,0.07107496695654919,0.07107496695654919,0.07107496695654919,0.14214993391309838,
BAU,0,,SOIALL,,2012,,5464.13,5464.13,5464.13,5464.13,,,5464.13,4956.13,,,10928.3,9673.38,5464.13,5464.13,14629.5,,,,,,,,,,,,,10354.5754,10354.5754,10354.5754,20709.2265,,0.07153859515198416,0.07153859515198416,0.07153859515198416,0.14307771400011135,
BAU,0,,SOIALL,,2013,,5591.54,5591.54,5591.54,5591.54,,,5591.54,4830.19,,,11183.1,9427.56,5591.54,5591.54,14257.7,,,,,,,,,,,,,10087.6033,10087.6033,10087.6033,20175.2426,,0.07107446436078473,0.07107446436078473,0.07107446436078473,0.14214918294299814,
BAU,0,,SOIALL,,2014,,5718.95,5718.95,5718.95,5718.95,,,5718.95,4705,,,11437.9,9183.22,5718.95,5718.95,13888.2,,,,,,,,,,,,,9822.4119,9822.4119,9822.4119,19644.8239,,0.07057668152628181,0.07057668152628181,0.07057668152628181,0.14115336305256362,
BAU,0,,SOIALL,,2015,,5791.62,5791.62,5791.62,5791.62,,,5791.62,4537.88,,,11583.2,8857.04,5791.62,5791.62,13394.9,,,,,,,,,,,,,9469.9392,9469.9392,9469.9392,18939.813,,0.0693917386493641,0.0693917386493641,0.0693917386493641,0.13878299804257088,
BAU,0,,SOIALL,,2016,,5864.26,5864.26,5864.26,5864.26,,,5864.26,4376,,,11728.5,8541.08,5864.26,5864.26,12917.1,,,,,,,,,,,,,9128.6306,9128.6306,9128.6306,18257.2301,,0.06821559983601348,0.06821559983601348,0.06821559983601348,0.13643096702340687,
BAU,0,,SOIALL,,2017,,5961.08,5961.08,5961.08,5961.08,,,5961.08,4236.43,,,11922.2,8268.67,5961.08,5961.08,12505.1,,,,,,,,,,,,,8834.107,8834.107,8834.107,17668.2733,,0.06732218621918729,0.06732218621918729,0.06732218621918729,0.13464482418326792,
BAU,0,,SOIALL,,2018,,6057.92,6057.92,6057.92,6057.92,,,6057.92,4100.24,,,12115.8,8002.84,6057.92,6057.92,12103.1,,,,,,,,,,,,,8546.8587,8546.8587,8546.8587,17093.661,,0.06642316563684834,0.06642316563684834,0.06642316563684834,0.1328458926864216,
BAU,0,,SOIALL,,2019,,6057.96,6057.96,6057.96,6057.96,,,6057.96,3905.01,,,12115.9,7621.81,6057.96,6057.96,11526.8,,,,,,,,,,,,,8136.8195,8136.8195,8136.8195,16273.6121,,0.06448893613992565,0.06448893613992565,0.06448893613992565,0.12897765937340708,
