Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2024,FixedOpex2024,VarOpex2024,Opex2024,Externalities2024,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,INORG_RCY_OS,,2010,,1.6787,1.6787,1.6787,1.6787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2011,,1.7402,1.7402,1.7402,1.7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2012,,1.7947,1.7947,1.7947,1.7947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2013,,2.0486,2.0486,2.0486,2.0486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2014,,2.3216,2.3216,2.3216,2.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2015,,2.1864,2.1864,2.1864,2.1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2016,,2.0872,2.0872,2.0872,2.0872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2017,,2.0809,2.0809,2.0809,2.0809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2018,,2.0811,2.0811,2.0811,2.0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2019,,2.0895,2.0895,2.0895,2.0895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2020,,2.0978,2.0978,2.0978,2.0978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2021,,2.1521,2.1521,2.1521,2.1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2022,,2.2359,2.2359,2.2359,2.2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2023,,2.3653,2.3653,2.3653,2.3653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2024,,2.497,2.497,2.497,2.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2025,,2.6309,2.6309,2.6309,2.6309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2026,,2.767,2.767,2.767,2.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2027,,2.9052,2.9052,2.9052,2.9052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2028,,3.0455,3.0455,3.0455,3.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2029,,3.1879,3.1879,3.1879,3.1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2030,,3.3321,3.3321,3.3321,3.3321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2031,,3.3972,3.3972,3.3972,3.3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2032,,3.4624,3.4624,3.4624,3.4624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2033,,3.5275,3.5275,3.5275,3.5275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2034,,3.5926,3.5926,3.5926,3.5926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2035,,3.6577,3.6577,3.6577,3.6577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2010,,0.0055,0.0055,0.0055,0.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2011,,0.0064,0.0064,0.0064,0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2012,,0.0073,0.0073,0.0073,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2013,,0.0222,0.0222,0.0222,0.0222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2014,,0.0372,0.0372,0.0372,0.0372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2015,,0.0322,0.0322,0.0322,0.0322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2016,,0.0272,0.0272,0.0272,0.0272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2017,,0.0305,0.0305,0.0305,0.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2018,,0.0338,0.0338,0.0338,0.0338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2019,,0.0353,0.0353,0.0353,0.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2020,,0.0368,0.0368,0.0368,0.0368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2021,,0.0385,0.0385,0.0385,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2022,,0.0337,0.0337,0.0337,0.0337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2023,,0.0356,0.0356,0.0356,0.0356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2024,,0.0376,0.0376,0.0376,0.0376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2025,,0.0396,0.0396,0.0396,0.0396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2026,,0.0417,0.0417,0.0417,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2027,,0.0437,0.0437,0.0437,0.0437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2028,,0.0459,0.0459,0.0459,0.0459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2029,,0.048,0.048,0.048,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2030,,0.0502,0.0502,0.0502,0.0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2031,,0.0512,0.0512,0.0512,0.0512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2032,,0.0521,0.0521,0.0521,0.0521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2033,,0.0531,0.0531,0.0531,0.0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2034,,0.0541,0.0541,0.0541,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,COMPOST,,2035,,0.0551,0.0551,0.0551,0.0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2010,,1.2472,1.2472,1.2472,1.2472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2011,,1.354,1.354,1.354,1.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2012,,1.4482,1.4482,1.4482,1.4482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2013,,1.5746,1.5746,1.5746,1.5746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2014,,1.7108,1.7108,1.7108,1.7108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2015,,1.9916,1.9916,1.9916,1.9916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2016,,2.218,2.218,2.218,2.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2017,,2.3435,2.3435,2.3435,2.3435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2018,,2.4618,2.4618,2.4618,2.4618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2019,,2.4779,2.4779,2.4779,2.4779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2020,,2.4921,2.4921,2.4921,2.4921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2021,,2.6399,2.6399,2.6399,2.6399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2022,,2.7492,2.7492,2.7492,2.7492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2023,,2.9082,2.9082,2.9082,2.9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LANDFILL,,2024,,3.0701,3.0701,3.0701,3.0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
