PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2016,,,,,,3.534276
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2017,,,,,,3.522682
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2018,,,,,,3.499313
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2019,,,,,,3.478119
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2020,,,,,,3.454614
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2021,,,,,,3.431109
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2022,,,,,,3.407607
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2023,,,,,,3.371220859045541
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2024,,,,,,3.3327788311026807
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2025,,,,,,3.3237130428763964
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2026,,,,,,3.3204501777469346
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2027,,,,,,3.3229777264872555
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2028,,,,,,3.3312320620666265
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2029,,,,,,3.345100056562445
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2030,,,,,,3.3644213297078944
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2031,,,,,,3.3830230419482823
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2032,,,,,,3.400899192778777
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2033,,,,,,3.4180432555467184
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2034,,,,,,3.434448162398431
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2035,,,,,,3.450106288505544
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2036,,,,,,3.4650094355437577
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2037,,,,,,3.4791488143957516
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2038,,,,,,3.4925150270487957
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2039,,,,,,3.50509804765636
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2040,,,,,,3.5168872027316844
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2041,,,,,,3.527871150439964
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2042,,,,,,3.5380378589543895
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2043,,,,,,3.5473745838397974
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2044,,,,,,3.5558678444261704
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2045,,,,,,3.5635033991326655
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2046,,,,,,3.5702662197011845
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2047,,,,,,3.576140464296759
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2048,,,,,,3.5811094494302993
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2049,,,,,,3.5851556206573183
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Bosques,,,,2050,,,,,,3.588260522004412
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2016,,,,,,0.093134
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2017,,,,,,0.092904
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2018,,,,,,0.095586
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2019,,,,,,0.098329
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2020,,,,,,0.101009
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2021,,,,,,0.103688
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2022,,,,,,0.106368
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2023,,,,,,0.10928655266094953
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2024,,,,,,0.11228518532372983
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2025,,,,,,0.11690655020431115
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2026,,,,,,0.1217181183899669
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2027,,,,,,0.12672771815182396
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2028,,,,,,0.13194349995219723
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2029,,,,,,0.1373739497051372
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2030,,,,,,0.14302790258274714
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2031,,,,,,0.14891455738973192
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2032,,,,,,0.15504349152956612
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2033,,,,,,0.1614246765866301
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2034,,,,,,0.16806849454966633
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2035,,,,,,0.17498575470295083
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2036,,,,,,0.18218771121266086
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2037,,,,,,0.18968608143705187
TotalTechnologyAnnualActivityLowerLimit,NDP,Guatemala,Plantaciones,,,,2038,,,,,,0.19749306499023322
