PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2018,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2019,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2020,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2021,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2022,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2023,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2024,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2025,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2026,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2027,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2028,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2029,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2030,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2031,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2032,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2033,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2034,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2035,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2036,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2037,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2038,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2039,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2040,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2041,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2042,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2043,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2044,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2045,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2046,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2047,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2048,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2049,,,,,,
AvailabilityFactor,BAU,GUA,PROD_CEM,,,,2050,,,,,,
