PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2018,,,,,,2.7546
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2019,,,,,,3.0039
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2020,,,,,,3.525
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2021,,,,,,4.2775
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2022,,,,,,4.6204
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2023,,,,,,5.708
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2024,,,,,,6.0961
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2025,,,,,,6.5107
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2026,,,,,,6.9534
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2027,,,,,,7.4262
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2028,,,,,,7.9312
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2029,,,,,,8.4705
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2030,,,,,,9.0465
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2031,,,,,,9.6617
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2032,,,,,,10.3187
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2033,,,,,,11.0204
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2034,,,,,,11.7698
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2035,,,,,,12.5701
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2036,,,,,,13.4249
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2037,,,,,,14.3378
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2038,,,,,,15.3127
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2039,,,,,,16.354
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2040,,,,,,17.4661
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2041,,,,,,18.6538
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2042,,,,,,19.9222
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2043,,,,,,21.2769
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2044,,,,,,22.7238
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2045,,,,,,24.269
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2046,,,,,,25.9193
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2047,,,,,,27.6818
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2048,,,,,,29.5641
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2049,,,,,,31.5745
SpecifiedAnnualDemand,BAU,GUA,,E5INDCEM_PROD,,,2050,,,,,,33.7216
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2018,,,,,,0.2436
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2019,,,,,,0.3239
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2020,,,,,,0.4235
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2021,,,,,,0.4008
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2022,,,,,,0.4703
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2023,,,,,,0.4882
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2024,,,,,,0.5068
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2025,,,,,,0.526
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2026,,,,,,0.546
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2027,,,,,,0.5667
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2028,,,,,,0.5883
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2029,,,,,,0.6106
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2030,,,,,,0.6338
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2031,,,,,,0.6579
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2032,,,,,,0.6829
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2033,,,,,,0.7089
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2034,,,,,,0.7358
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2035,,,,,,0.7638
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2036,,,,,,0.7928
SpecifiedAnnualDemand,BAU,GUA,,E5IPPULIME_CAL_PROD,,,2037,,,,,,0.8229
