PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2018,,,,,,2.7540480030306465
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2019,,,,,,2.86702
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2020,,,,,,2.92
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2021,,,,,,3.6211199999999995
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2022,,,,,,3.8986
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2023,,,,,,5.708
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2024,,,,,,6.096144000000001
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2025,,,,,,6.510681792000001
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2026,,,,,,6.953408153856
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2027,,,,,,7.42623990831821
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2028,,,,,,7.93122422208384
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2029,,,,,,8.47054746918555
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2030,,,,,,9.046544697090159
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2031,,,,,,9.6617097364923
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2032,,,,,,10.3187059985737
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2033,,,,,,11.0203780064767
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2034,,,,,,11.7697637109172
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2035,,,,,,12.570107643259501
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2036,,,,,,13.424874963001201
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2037,,,,,,14.3377664604853
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2038,,,,,,15.312734579798299
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2039,,,,,,16.3540005312246
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2040,,,,,,17.4660725673478
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2041,,,,,,18.653765501927502
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2042,,,,,,19.922221556058602
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2043,,,,,,21.2769326218706
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2044,,,,,,22.7237640401578
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2045,,,,,,24.2689799948885
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2046,,,,,,25.919270634540897
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2047,,,,,,27.6817810376897
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2048,,,,,,29.5641421482526
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2049,,,,,,31.5745038143338
SpecifiedAnnualDemand,BAU,GUA,,E5_CEM_PRODCEM_PROD,,,2050,,,,,,33.7215700737085
