PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2018,,,,,,0.2436
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2019,,,,,,0.3239
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2020,,,,,,0.4235
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2021,,,,,,0.4008
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2022,,,,,,0.4703
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2023,,,,,,0.4882
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2024,,,,,,0.5068
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2025,,,,,,0.526
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2026,,,,,,0.546
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2027,,,,,,0.5667
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2028,,,,,,0.5883
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2029,,,,,,0.6106
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2030,,,,,,0.6338
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2031,,,,,,0.6579
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2032,,,,,,0.6829
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2033,,,,,,0.7089
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2034,,,,,,0.7358
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2035,,,,,,0.7638
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2036,,,,,,0.7928
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2037,,,,,,0.8229
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2038,,,,,,0.8542
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2039,,,,,,0.8867
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2040,,,,,,0.9204
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2041,,,,,,0.9553
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2042,,,,,,0.9916
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2043,,,,,,1.0293
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2044,,,,,,1.0684
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2045,,,,,,1.109
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2046,,,,,,1.1512
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2047,,,,,,1.1949
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2048,,,,,,1.2403
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2049,,,,,,1.2875
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_CAL_PROD,,,,2050,,,,,,1.3364
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2018,,,,,,0.003
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2019,,,,,,0.0188
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2020,,,,,,0.1
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2021,,,,,,0.1081
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2022,,,,,,0.1169
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2023,,,,,,0.1213
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2024,,,,,,0.1259
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2025,,,,,,0.1307
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2026,,,,,,0.1356
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2027,,,,,,0.1408
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2028,,,,,,0.1462
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2029,,,,,,0.1517
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2030,,,,,,0.1575
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2031,,,,,,0.1635
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2032,,,,,,0.1697
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2033,,,,,,0.1761
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2034,,,,,,0.1828
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,LIME_DOL_PROD,,,,2035,,,,,,0.1898
