Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,RAW_MAT_CLK,,2018,,1.90343,1.90343,1.90343,1.90343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2019,,2.05977,2.05977,2.05977,2.05977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2020,,2.39171,2.39171,2.39171,2.39171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2021,,2.8702,2.8702,2.8702,2.8702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2022,,3.12801,3.12801,3.12801,3.12801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2023,,3.90998,3.90998,3.90998,3.90998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2024,,4.18375,4.18375,4.18375,4.18375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2025,,4.47676,4.47676,4.47676,4.47676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2026,,4.7902,4.7902,4.7902,4.7902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2027,,5.12556,5.12556,5.12556,5.12556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2028,,5.48442,5.48442,5.48442,5.48442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2029,,5.86836,5.86836,5.86836,5.86836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2030,,6.27918,6.27918,6.27918,6.27918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2031,,6.71875,6.71875,6.71875,6.71875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2032,,7.18904,7.18904,7.18904,7.18904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2033,,7.69224,7.69224,7.69224,7.69224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2034,,8.23062,8.23062,8.23062,8.23062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2035,,8.80661,8.80661,8.80661,8.80661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2036,,9.42294,9.42294,9.42294,9.42294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2037,,10.0809,10.0809,10.0809,10.0809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2038,,10.7863,10.7863,10.7863,10.7863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2039,,11.541,11.541,11.541,11.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2040,,12.3485,12.3485,12.3485,12.3485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2041,,13.2125,13.2125,13.2125,13.2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2042,,14.1368,14.1368,14.1368,14.1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2043,,15.1257,15.1257,15.1257,15.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2044,,16.1839,16.1839,16.1839,16.1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2045,,17.3159,17.3159,17.3159,17.3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2046,,18.5271,18.5271,18.5271,18.5271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2047,,19.8229,19.8229,19.8229,19.8229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2048,,21.2093,21.2093,21.2093,21.2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2049,,22.6926,22.6926,22.6926,22.6926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2050,,24.2796,24.2796,24.2796,24.2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2018,,0.851171,0.851171,0.851171,0.851171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2019,,0.944126,0.944126,0.944126,0.944126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2020,,1.13329,1.13329,1.13329,1.13329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2021,,1.4073,1.4073,1.4073,1.4073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2022,,1.49239,1.49239,1.49239,1.49239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2023,,1.79802,1.79802,1.79802,1.79802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2024,,1.91235,1.91235,1.91235,1.91235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2025,,2.03394,2.03394,2.03394,2.03394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2026,,2.1632,2.1632,2.1632,2.1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2027,,2.30064,2.30064,2.30064,2.30064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2028,,2.44678,2.44678,2.44678,2.44678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2029,,2.60214,2.60214,2.60214,2.60214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2030,,2.76732,2.76732,2.76732,2.76732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2031,,2.94295,2.94295,2.94295,2.94295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2032,,3.12966,3.12966,3.12966,3.12966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2033,,3.32816,3.32816,3.32816,3.32816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2034,,3.53918,3.53918,3.53918,3.53918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2035,,3.76349,3.76349,3.76349,3.76349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2036,,4.00196,4.00196,4.00196,4.00196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2037,,4.25689,4.25689,4.25689,4.25689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2038,,4.52643,4.52643,4.52643,4.52643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2039,,4.81298,4.81298,4.81298,4.81298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2040,,5.11757,5.11757,5.11757,5.11757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2041,,5.44131,5.44131,5.44131,5.44131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2042,,5.78541,5.78541,5.78541,5.78541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2043,,6.15115,6.15115,6.15115,6.15115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2044,,6.53991,6.53991,6.53991,6.53991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2045,,6.95307,6.95307,6.95307,6.95307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2046,,7.39218,7.39218,7.39218,7.39218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2047,,7.85886,7.85886,7.85886,7.85886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2048,,8.35481,8.35481,8.35481,8.35481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2049,,8.88191,8.88191,8.88191,8.88191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2050,,9.44205,9.44205,9.44205,9.44205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2018,,0.2436,0.2436,0.2436,0.2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2019,,0.3239,0.3239,0.3239,0.3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2020,,0.4235,0.4235,0.4235,0.4235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2021,,0.4008,0.4008,0.4008,0.4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2022,,0.4703,0.4703,0.4703,0.4703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2023,,0.4882,0.4882,0.4882,0.4882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2024,,0.5068,0.5068,0.5068,0.5068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2025,,0.526,0.526,0.526,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2026,,0.546,0.546,0.546,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2027,,0.5667,0.5667,0.5667,0.5667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2028,,0.5883,0.5883,0.5883,0.5883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2029,,0.6106,0.6106,0.6106,0.6106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2030,,0.6338,0.6338,0.6338,0.6338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2031,,0.6579,0.6579,0.6579,0.6579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2032,,0.6829,0.6829,0.6829,0.6829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2033,,0.7089,0.7089,0.7089,0.7089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2034,,0.7358,0.7358,0.7358,0.7358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2035,,0.7638,0.7638,0.7638,0.7638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2036,,0.7928,0.7928,0.7928,0.7928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2037,,0.8229,0.8229,0.8229,0.8229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2038,,0.8542,0.8542,0.8542,0.8542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2039,,0.8867,0.8867,0.8867,0.8867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2040,,0.9204,0.9204,0.9204,0.9204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2041,,0.9553,0.9553,0.9553,0.9553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,LIME_CAL_PROD,,2042,,0.9916,0.9916,0.9916,0.9916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
