PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2016,,,,,,10.66684333049899
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2017,,,,,,10.907888275498989
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2018,,,,,,11.152997786249
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2019,,,,,,11.27263805739922
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2020,,,,,,11.43522156215959
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2021,,,,,,11.517316336664125
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2022,,,,,,11.626969871940226
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2023,,,,,,11.73816662422635
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2024,,,,,,11.84494403679818
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2025,,,,,,11.941851180577274
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2026,,,,,,12.028721667477535
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2027,,,,,,12.105424420924368
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2028,,,,,,12.173356508689283
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2029,,,,,,12.232126689131421
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2030,,,,,,12.281303175347265
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2031,,,,,,12.320436322831597
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2032,,,,,,12.349035770858848
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2033,,,,,,12.366567499156403
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2034,,,,,,12.372417183717621
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2035,,,,,,12.36593314666119
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2036,,,,,,12.345812353527084
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2037,,,,,,12.311594228204548
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2038,,,,,,12.2623212325757
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2039,,,,,,12.19689058704698
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2040,,,,,,12.114265993713962
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2041,,,,,,12.013209295838418
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2042,,,,,,11.892392832015531
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2043,,,,,,11.75039429395308
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2044,,,,,,11.585655387944195
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2045,,,,,,11.396522137571058
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2046,,,,,,11.181205238147752
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2047,,,,,,10.937762737408011
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2048,,,,,,10.664112513275022
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2049,,,,,,10.357998305585552
SpecifiedAnnualDemand,NDP,Guatemala,,lena_demandado,,,2050,,,,,,10.016989680843057
