Run.ID,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
BAU,,,Suelo,,,,2016.0,,,,3.612,3.612,3.612,3.612,3.612,3.612,3.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2017.0,,,,,3.612,3.612,3.59354,3.59354,3.59354,3.59354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2018.0,,,,,3.612,3.612,3.57534,3.57534,3.57534,3.57534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2019.0,,,,,3.612,3.612,3.55723,3.55723,3.55723,3.55723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2020.0,,,,,3.612,3.612,3.53922,3.53922,3.53922,3.53922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2021.0,,,,,3.612,3.612,3.5213,3.5213,3.5213,3.5213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2022.0,,,,,3.612,3.612,3.50348,3.50348,3.50348,3.50348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2023.0,,,,,3.612,3.612,3.48575,3.48575,3.48575,3.48575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2024.0,,,,,3.612,3.612,3.46811,3.46811,3.46811,3.46811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2025.0,,,,,3.612,3.612,3.45057,3.45057,3.45057,3.45057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2026.0,,,,,3.612,3.612,3.43311,3.43311,3.43311,3.43311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2027.0,,,,,3.612,3.612,3.41575,3.41575,3.41575,3.41575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2028.0,,,,,3.612,3.612,3.39847,3.39847,3.39847,3.39847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2029.0,,,,,3.612,3.612,3.38128,3.38128,3.38128,3.38128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2030.0,,,,,3.612,3.612,3.36418,3.36418,3.36418,3.36418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2031.0,,,,,3.612,3.612,3.34717,3.34717,3.34717,3.34717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2032.0,,,,,3.612,3.612,3.33024,3.33024,3.33024,3.33024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2033.0,,,,,3.612,3.612,3.3134,3.3134,3.3134,3.3134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2034.0,,,,,3.612,3.612,3.29664,3.29664,3.29664,3.29664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2035.0,,,,,3.612,3.612,3.27997,3.27997,3.27997,3.27997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2036.0,,,,,3.612,3.612,3.26338,3.26338,3.26338,3.26338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2037.0,,,,,3.612,3.612,3.24687,3.24687,3.24687,3.24687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2038.0,,,,,3.612,3.612,3.23045,3.23045,3.23045,3.23045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2039.0,,,,,3.612,3.612,3.2141,3.2141,3.2141,3.2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2040.0,,,,,3.612,3.612,3.19785,3.19785,3.19785,3.19785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2041.0,,,,,3.612,3.612,3.18167,3.18167,3.18167,3.18167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2042.0,,,,,3.612,3.612,3.16557,3.16557,3.16557,3.16557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2043.0,,,,,3.612,3.612,3.14955,3.14955,3.14955,3.14955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2044.0,,,,,3.612,3.612,3.13361,3.13361,3.13361,3.13361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2045.0,,,,,3.612,3.612,3.11775,3.11775,3.11775,3.11775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2046.0,,,,,3.612,3.612,3.10197,3.10197,3.10197,3.10197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2047.0,,,,,3.612,3.612,3.08627,3.08627,3.08627,3.08627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2048.0,,,,,3.612,3.612,3.07065,3.07065,3.07065,3.07065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2049.0,,,,,3.612,3.612,3.05511,3.05511,3.05511,3.05511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Suelo,,,,2050.0,,,,,3.612,3.612,3.03964,3.03964,3.03964,3.03964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2016.0,,,,2.43258,2.43258,2.43258,2.43258,2.43258,2.43258,2.43258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2017.0,,,,0.0236166,2.4562,2.4562,2.4562,2.4562,2.4562,2.4562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2018.0,,,,0.0261939,2.48239,2.48239,2.48239,2.48239,2.48239,2.48239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2019.0,,,,0.0299753,2.51237,2.51237,2.51237,2.51237,2.51237,2.51237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2020.0,,,,0.0336079,2.54597,2.54597,2.54597,2.54597,2.54597,2.54597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2021.0,,,,0.0317894,2.57776,2.57776,2.57776,2.57776,2.57776,2.57776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2022.0,,,,0.0325084,2.61027,2.61027,2.61027,2.61027,2.61027,2.61027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2023.0,,,,0.0330516,2.64332,2.64332,2.64332,2.64332,2.64332,2.64332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2024.0,,,,0.0334232,2.67675,2.67675,2.67675,2.67675,2.67675,2.67675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2025.0,,,,0.0275963,2.70434,2.70434,2.70434,2.70434,2.70434,2.70434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2026.0,,,,0.027531,2.73187,2.73187,2.73187,2.73187,2.73187,2.73187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2027.0,,,,0.0275439,2.75942,2.75942,2.75942,2.75942,2.75942,2.75942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2028.0,,,,0.0270667,2.78648,2.78648,2.78648,2.78648,2.78648,2.78648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2029.0,,,,0.0261613,2.81265,2.81265,2.81265,2.81265,2.81265,2.81265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Cultivos,,,,2030.0,,,,0.0261557,2.8388,2.8388,2.8388,2.8388,2.8388,2.8388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
