PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2018,,,,,,0.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2019,,,,,,0.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2020,,,,,,0.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2021,,,,,,0.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2022,,,,,,0.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2023,,,,,,0.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2024,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2025,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2026,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2027,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2028,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2029,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2030,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2031,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2032,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2033,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2034,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2035,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2036,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2037,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2038,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2039,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2040,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2041,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2042,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2043,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2044,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2045,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2046,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2047,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2048,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2049,,,,,,1.0
TotalAnnualMaxCapacityInvestment,BAU,GUA,PPGEO,,,,2050,,,,,,1.0
