PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2018,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2019,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2020,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2021,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2022,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2023,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2024,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2025,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2026,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2027,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2028,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2029,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2030,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2031,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2032,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2033,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2034,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2035,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2036,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2037,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2038,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2039,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2040,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2041,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2042,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2043,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2044,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2045,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2046,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2047,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2048,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2049,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CLK,,,,2050,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2018,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2019,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2020,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2021,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2022,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2023,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2024,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2025,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2026,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2027,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2028,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2029,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2030,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2031,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2032,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2033,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2034,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2035,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2036,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2037,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2038,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2039,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2040,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2041,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2042,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2043,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2044,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2045,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2046,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2047,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2048,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2049,,,,,,
ResidualCapacity,BAU,GUA,RAW_MAT_CEM,,,,2050,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2018,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2019,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2020,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2021,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2022,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2023,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2024,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2025,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2026,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2027,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2028,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2029,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2030,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2031,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2032,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2033,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2034,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2035,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2036,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2037,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2038,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2039,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2040,,,,,,
ResidualCapacity,BAU,GUA,PROD_CAL,,,,2041,,,,,,
