PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2018,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2019,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2020,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2021,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2022,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2023,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2024,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2025,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2026,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2027,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2028,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2029,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2030,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2031,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2032,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2033,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2034,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2035,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2036,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2037,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2038,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2039,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2040,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2041,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2042,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2043,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2044,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2045,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2046,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2047,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2048,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2049,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CLK,,,,2050,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2018,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2019,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2020,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2021,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2022,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2023,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2024,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2025,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2026,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2027,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2028,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2029,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2030,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2031,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2032,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2033,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2034,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2035,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2036,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2037,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2038,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,RAW_MAT_CEM,,,,2039,,,,,,
