PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,BAU,GUA,,,RM,,2018,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2019,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2020,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2021,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2022,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2023,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2024,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2025,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2026,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2027,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2028,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2029,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2030,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2031,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2032,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2033,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2034,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2035,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2036,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2037,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2038,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2039,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2040,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2041,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2042,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2043,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2044,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2045,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2046,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2047,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2048,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2049,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,RM,,2050,,,,,,-56.0
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2018,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2019,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2020,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2021,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2022,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2023,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2024,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2025,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2026,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2027,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2028,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2029,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2030,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2031,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2032,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2033,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2034,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2035,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2036,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2037,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2038,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2039,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2040,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2041,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2042,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2043,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2044,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2045,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2046,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2047,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2048,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2049,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,FERT_ORG,,2050,,,,,,-58.44
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2018,,,,,,126.12498423909746
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2019,,,,,,123.04646267882056
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2020,,,,,,120.18223877401654
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2021,,,,,,117.50791166556763
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2022,,,,,,115.00084559445288
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2023,,,,,,112.35166142375896
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2024,,,,,,109.71868231598656
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2025,,,,,,107.10407716713648
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2026,,,,,,104.5103768331025
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2027,,,,,,101.9401341690706
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2028,,,,,,99.39585624938408
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2029,,,,,,96.88015804475152
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2030,,,,,,94.39535493491704
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2031,,,,,,91.94365647491972
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2032,,,,,,89.52703366371956
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2033,,,,,,87.14723829257987
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2034,,,,,,84.80562155493551
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2035,,,,,,82.50345176438233
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2036,,,,,,80.24169676132114
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2037,,,,,,78.02109653413291
EmissionsPenalty,BAU,GUA,,,salud_residuos,,2038,,,,,,75.84218790024197
