PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,GUA,INORG_RCY_OS,,,,,,,,,,1
OperationalLife,BAU,GUA,AD,,,,,,,,,,1
OperationalLife,BAU,GUA,COMPOST,,,,,,,,,,1
OperationalLife,BAU,GUA,LANDFILL,,,,,,,,,,1
OperationalLife,BAU,GUA,NO_CONTR_OD,,,,,,,,,,1
OperationalLife,BAU,GUA,OPEN_BURN,,,,,,,,,,1
OperationalLife,BAU,GUA,SIT_CLAN,,,,,,,,,,1
OperationalLife,BAU,GUA,LANDFILL_ELEC,,,,,,,,,,1
OperationalLife,BAU,GUA,AERO_PTAR,,,,,,,,,,20
OperationalLife,BAU,GUA,AERO_PTAR_RU,,,,,,,,,,20
OperationalLife,BAU,GUA,ANAE_LAGN,,,,,,,,,,20
OperationalLife,BAU,GUA,ANAE_LAGN_RU,,,,,,,,,,20
OperationalLife,BAU,GUA,SEPT_SYST,,,,,,,,,,20
OperationalLife,BAU,GUA,LATR,,,,,,,,,,20
OperationalLife,BAU,GUA,EFLT_DISC,,,,,,,,,,100
OperationalLife,BAU,GUA,OSS_INORG,,,,,,,,,,1
OperationalLife,BAU,GUA,OSS_ORG,,,,,,,,,,1
OperationalLife,BAU,GUA,NO_OSS_BLEND,,,,,,,,,,1
OperationalLife,BAU,GUA,NO_OSS_NO_COLL,,,,,,,,,,1
OperationalLife,BAU,GUA,INORG_DCOLL,,,,,,,,,,1
OperationalLife,BAU,GUA,ORG_DCOLL,,,,,,,,,,1
OperationalLife,BAU,GUA,BLEND_NO_DCOLL,,,,,,,,,,1
OperationalLife,BAU,GUA,BLEND_NO_COLL,,,,,,,,,,1
OperationalLife,BAU,GUA,INORG_SS,,,,,,,,,,1
OperationalLife,BAU,GUA,ORG_SS,,,,,,,,,,1
OperationalLife,BAU,GUA,NO_SS,,,,,,,,,,1
OperationalLife,BAU,GUA,WWWT,,,,,,,,,,100
OperationalLife,BAU,GUA,WWWOT,,,,,,,,,,100
OperationalLife,BAU,GUA,SEWERWW,,,,,,,,,,100
OperationalLife,BAU,GUA,DIRECT_DISC,,,,,,,,,,100
OperationalLife,BAU,GUA,T5TSWTSW,,,,,,,,,,1
OperationalLife,BAU,GUA,T5TWWTWW,,,,,,,,,,1
