PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2018,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2019,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2020,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2021,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2022,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2023,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2024,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2025,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2026,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2027,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2028,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2029,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2030,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2031,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2032,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2033,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2034,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2035,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2036,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2037,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2038,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2039,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2040,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2041,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2042,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2043,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2044,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2045,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2046,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2047,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2048,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2049,,,,,,0.0
ResidualCapacity,BAU,GUA,INORG_RCY_OS,,,,2050,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2018,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2019,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2020,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2021,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2022,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2023,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2024,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2025,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2026,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2027,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2028,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2029,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2030,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2031,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2032,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2033,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2034,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2035,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2036,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2037,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2038,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2039,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2040,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2041,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2042,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2043,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2044,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2045,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2046,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2047,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2048,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2049,,,,,,0.0
ResidualCapacity,BAU,GUA,AD,,,,2050,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2018,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2019,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2020,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2021,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2022,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2023,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2024,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2025,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2026,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2027,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2028,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2029,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2030,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2031,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2032,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2033,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2034,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2035,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2036,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2037,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2038,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2039,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2040,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2041,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2042,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2043,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2044,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2045,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2046,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2047,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2048,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2049,,,,,,0.0
ResidualCapacity,BAU,GUA,COMPOST,,,,2050,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2018,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2019,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2020,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2021,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2022,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2023,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2024,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2025,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2026,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2027,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2028,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2029,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2030,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2031,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2032,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2033,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2034,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2035,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2036,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2037,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2038,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2039,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2040,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2041,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2042,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2043,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2044,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2045,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2046,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2047,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2048,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2049,,,,,,0.0
ResidualCapacity,BAU,GUA,LANDFILL,,,,2050,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2018,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2019,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2020,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2021,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2022,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2023,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2024,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2025,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2026,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2027,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2028,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2029,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2030,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2031,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2032,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2033,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2034,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2035,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2036,,,,,,0.0
ResidualCapacity,BAU,GUA,NO_CONTR_OD,,,,2037,,,,,,0.0
