PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2018,,,,,,0.1339
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2019,,,,,,0.1442
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2020,,,,,,0.1544
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2021,,,,,,0.1647
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2022,,,,,,0.175
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2023,,,,,,0.1816
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2024,,,,,,0.1885
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2025,,,,,,0.1957
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2026,,,,,,0.2032
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2027,,,,,,0.2109
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2028,,,,,,0.2189
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2029,,,,,,0.2272
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2030,,,,,,0.2358
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2031,,,,,,0.2448
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2032,,,,,,0.2541
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2033,,,,,,0.2638
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2034,,,,,,0.2738
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2035,,,,,,0.2842
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2036,,,,,,0.295
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2037,,,,,,0.3062
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2038,,,,,,0.3178
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2039,,,,,,0.3299
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2040,,,,,,0.3424
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2041,,,,,,0.3555
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2042,,,,,,0.369
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2043,,,,,,0.383
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2044,,,,,,0.3975
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2045,,,,,,0.4126
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2046,,,,,,0.4283
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2047,,,,,,0.4446
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2048,,,,,,0.4615
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2049,,,,,,0.479
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,INORG_RCY_OS,,,,2050,,,,,,0.4972
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,GUA,AD,,,,2029,,,,,,0.0
