PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,HON,DIST_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,DIST_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,DIST_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,DIST_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,DIST_COK,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,DIST_KER,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,DIST_COA,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,DIST_URA,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,IMP_ELE,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,EXTT_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,EXTT_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,PPHDAM,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPHROR,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPGEO,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPWNDON,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPPVT,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPPVT2,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPPVTS,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPPVD,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPWNDD,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPPVDS,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPBIM,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPBGS,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPCOA,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPCOK,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPGTDSL,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPICEDSL,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPFOI,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPGTGLP,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPDDSL,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPDLPG,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,PPNUC,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,DIST_FIR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,DIST_BIM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,DIST_BGS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,DIST_NGS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,PPNGS,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,STOELE,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,HON,ELE_TRANS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,ELE_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,HYD_G_PROD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,HYD_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,LU_OTR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,LU_FORLAT,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,LU_FORCON,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,LU_FORMAN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,LU_CUL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,LU_ABO,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,LU_PAS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,LU_HUM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,LU_ASE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,NS_LU_FOR_PER,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,NS_LU_FOR_CON,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,NS_LU_CUL_PER,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,NS_LU_CUL_CON,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,NS_LU_PAS_PER,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,NS_LU_PAS_CON,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5GSLCOM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5LPGCOM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5ELECOM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5FIRCOM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5DSLIND,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5GSLIND,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5LPGIND,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5ELEIND,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5COKIND,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5KERIND,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,HON,T5BIMIND,,,,,,,,,,1.0
