PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,HON,DIST_DSL,,,,,,,,,,1.0
OperationalLife,BAU,HON,DIST_GSL,,,,,,,,,,1.0
OperationalLife,BAU,HON,DIST_LPG,,,,,,,,,,1.0
OperationalLife,BAU,HON,DIST_FOI,,,,,,,,,,1.0
OperationalLife,BAU,HON,DIST_COK,,,,,,,,,,1.0
OperationalLife,BAU,HON,DIST_KER,,,,,,,,,,1.0
OperationalLife,BAU,HON,DIST_COA,,,,,,,,,,1.0
OperationalLife,BAU,HON,DIST_URA,,,,,,,,,,1.0
OperationalLife,BAU,HON,IMP_ELE,,,,,,,,,,1.0
OperationalLife,BAU,HON,EXTT_CRU,,,,,,,,,,1.0
OperationalLife,BAU,HON,EXTT_LPG,,,,,,,,,,1.0
OperationalLife,BAU,HON,PPHDAM,,,,,,,,,,40.0
OperationalLife,BAU,HON,PPHROR,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPGEO,,,,,,,,,,30.0
OperationalLife,BAU,HON,PPWNDON,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPPVT,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPPVT2,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPPVTS,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPPVD,,,,,,,,,,30.0
OperationalLife,BAU,HON,PPWNDD,,,,,,,,,,30.0
OperationalLife,BAU,HON,PPPVDS,,,,,,,,,,30.0
OperationalLife,BAU,HON,PPBIM,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPBGS,,,,,,,,,,15.0
OperationalLife,BAU,HON,PPCOA,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPCOK,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPGTDSL,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPICEDSL,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPFOI,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPGTGLP,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPDDSL,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPDLPG,,,,,,,,,,25.0
OperationalLife,BAU,HON,PPNUC,,,,,,,,,,40.0
OperationalLife,BAU,HON,DIST_FIR,,,,,,,,,,1.0
OperationalLife,BAU,HON,DIST_BIM,,,,,,,,,,1.0
OperationalLife,BAU,HON,DIST_BGS,,,,,,,,,,1.0
OperationalLife,BAU,HON,DIST_NGS,,,,,,,,,,1.0
OperationalLife,BAU,HON,PPNGS,,,,,,,,,,25.0
OperationalLife,BAU,HON,SOIALL,,,,,,,,,,100.0
OperationalLife,BAU,HON,STOELE,,,,,,,,,,20.0
OperationalLife,BAU,HON,ELE_TRANS,,,,,,,,,,60.0
OperationalLife,BAU,HON,ELE_DIST,,,,,,,,,,60.0
OperationalLife,BAU,HON,HYD_G_PROD,,,,,,,,,,20.0
OperationalLife,BAU,HON,HYD_DIST,,,,,,,,,,15.0
OperationalLife,BAU,HON,LU_OTR,,,,,,,,,,1.0
OperationalLife,BAU,HON,LU_FORLAT,,,,,,,,,,1.0
OperationalLife,BAU,HON,LU_FORCON,,,,,,,,,,1.0
OperationalLife,BAU,HON,LU_FORMAN,,,,,,,,,,1.0
OperationalLife,BAU,HON,LU_CUL,,,,,,,,,,1.0
OperationalLife,BAU,HON,LU_ABO,,,,,,,,,,1.0
OperationalLife,BAU,HON,LU_PAS,,,,,,,,,,1.0
OperationalLife,BAU,HON,LU_HUM,,,,,,,,,,1.0
OperationalLife,BAU,HON,LU_ASE,,,,,,,,,,1.0
OperationalLife,BAU,HON,NS_LU_FOR_PER,,,,,,,,,,1.0
OperationalLife,BAU,HON,NS_LU_FOR_CON,,,,,,,,,,1.0
OperationalLife,BAU,HON,NS_LU_CUL_PER,,,,,,,,,,1.0
OperationalLife,BAU,HON,NS_LU_CUL_CON,,,,,,,,,,1.0
OperationalLife,BAU,HON,NS_LU_PAS_PER,,,,,,,,,,1.0
OperationalLife,BAU,HON,NS_LU_PAS_CON,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5GSLCOM,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5LPGCOM,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5ELECOM,,,,,,,,,,15.0
OperationalLife,BAU,HON,T5FIRCOM,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5DSLIND,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5GSLIND,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5LPGIND,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5ELEIND,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5COKIND,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5KERIND,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5BIMIND,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5FOIIND,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5LPGRES,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5ELERES,,,,,,,,,,10.0
OperationalLife,BAU,HON,T5KERRES,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5FIRRES,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5LPGEXP,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5DSLTOT,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5KERTAC,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5DSLCOM,,,,,,,,,,1.0
OperationalLife,BAU,HON,T5DSLAGR,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4DSL_PRI,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4GSL_PRI,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4ELE_PRI,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4GSL_PUB,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4LPG_PUB,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4ELE_PUB,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4DSL_PUB,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4HYD_PUB,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4DSL_TUR,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4GSL_TUR,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4ELE_TUR,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4DSL_HEA,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4ELE_HEA,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4HYD_HEA,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4DSL_LIG,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4GSL_LIG,,,,,,,,,,1.0
OperationalLife,BAU,HON,T4ELE_LIG,,,,,,,,,,1.0
OperationalLife,BAU,HON,TRAUTDSL,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRAUTGSL,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRAUTELE,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRAUTHG,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRTAXGSL,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRTAXLPG,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRTAXELE,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRMOTGSL,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRMOTELE,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRSUVDSL,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRSUVGSL,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRSUVELE,,,,,,,,,,17.0
OperationalLife,BAU,HON,TRBPUDSL,,,,,,,,,,14.0
OperationalLife,BAU,HON,TRBPUGSL,,,,,,,,,,14.0
OperationalLife,BAU,HON,TRBPUELE,,,,,,,,,,16.0
OperationalLife,BAU,HON,TRBPUHYD,,,,,,,,,,12.0
OperationalLife,BAU,HON,TRBTURDSL,,,,,,,,,,14.0
