PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2018,,,,,,2.4652
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2019,,,,,,2.5433
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2020,,,,,,2.5433
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2021,,,,,,2.5433
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2022,,,,,,2.5433
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2023,,,,,,2.5433
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2024,,,,,,2.5251
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2025,,,,,,2.5788
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2026,,,,,,2.6328
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2027,,,,,,2.6868
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2028,,,,,,2.7408
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2029,,,,,,2.7949
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2030,,,,,,2.8487
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2031,,,,,,2.9023
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2032,,,,,,2.9557
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2033,,,,,,3.0087
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2034,,,,,,3.0612
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2035,,,,,,3.1134
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2036,,,,,,3.165
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2037,,,,,,3.2161
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2038,,,,,,3.2666
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2039,,,,,,3.3165
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2040,,,,,,3.3656
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2041,,,,,,3.414
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2042,,,,,,3.4616
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2043,,,,,,3.5082
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2044,,,,,,3.554
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2045,,,,,,3.5987
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2046,,,,,,3.6424
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2047,,,,,,3.685
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2048,,,,,,3.7265
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2049,,,,,,3.7668
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2050,,,,,,3.8058
TotalAnnualMaxCapacity,BAU,HON,Techs_Taxi,,,,2018,,,,,,1.3269
TotalAnnualMaxCapacity,BAU,HON,Techs_Taxi,,,,2019,,,,,,1.3691
TotalAnnualMaxCapacity,BAU,HON,Techs_Taxi,,,,2020,,,,,,1.3691
TotalAnnualMaxCapacity,BAU,HON,Techs_Taxi,,,,2021,,,,,,1.3691
TotalAnnualMaxCapacity,BAU,HON,Techs_Taxi,,,,2022,,,,,,1.3691
TotalAnnualMaxCapacity,BAU,HON,Techs_Taxi,,,,2023,,,,,,1.3691
TotalAnnualMaxCapacity,BAU,HON,Techs_Taxi,,,,2024,,,,,,1.3594
TotalAnnualMaxCapacity,BAU,HON,Techs_Taxi,,,,2025,,,,,,1.3882
TotalAnnualMaxCapacity,BAU,HON,Techs_Taxi,,,,2026,,,,,,1.4172
TotalAnnualMaxCapacity,BAU,HON,Techs_Taxi,,,,2027,,,,,,1.4463
