PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2018,,,,,,1.3528
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2019,,,,,,0.943
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2020,,,,,,1.0611
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2021,,,,,,0.743
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2022,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2023,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2024,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2025,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2026,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2027,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2028,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2029,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2030,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2031,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2032,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2033,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2034,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2035,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2036,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2037,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2038,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2039,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2040,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2041,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2042,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2043,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2044,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2045,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2046,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2047,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2048,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2049,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,IMP_ELE,,,,2050,,,,,,0.7093
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2018,,,,,,6.1688
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2019,,,,,,4.3275
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2020,,,,,,4.2977
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2021,,,,,,7.2631
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2022,,,,,,7.3901
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2023,,,,,,7.7992
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2024,,,,,,7.7992
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2025,,,,,,5.2
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2026,,,,,,5.95
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2027,,,,,,6.7
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2028,,,,,,7.45
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2029,,,,,,8.2
TotalTechnologyAnnualActivityUpperLimit,BAU,HON,PPHDAM,,,,2030,,,,,,8.95
