Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2021,FixedOpex2021,VarOpex2021,Opex2021,Externalities2021,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,DIST_DSL,,2018,,38.9541,38.9541,38.9541,38.9541,,,,,,,595.359,581.011,595.359,,581.011,,,,,,,,,,,,,,,797.838,797.838,,,,0.008754764425622022,0.008754764425622022,
BAU,0,,DIST_DSL,,2019,,41.046,41.046,41.046,41.046,,,,,,,568.639,528.51,568.639,,528.51,,,,,,,,,,,,,,,725.7435,725.7435,,,,0.008050499759322706,0.008050499759322706,
BAU,0,,DIST_DSL,,2020,,34.235,34.235,34.235,34.235,,,,,,,326.838,289.307,326.838,,289.307,,,,,,,,,,,,,,,397.2736,397.2736,,,,0.0046985811014792775,0.0046985811014792775,
BAU,0,,DIST_DSL,,2021,,36.6706,36.6706,36.6706,36.6706,,,,,,,528.035,445.143,528.035,,445.143,,,,,,,,,,,,,,,611.2665,611.2665,,,,0.00733426408420455,0.00733426408420455,
BAU,0,,DIST_DSL,,2022,,36.9261,36.9261,36.9261,36.9261,,,,,,,941.582,755.973,941.582,,755.973,,,,,,,,,,,,,,,1038.0942,1038.0942,,,,0.012636058599968353,0.012636058599968353,
BAU,0,,DIST_DSL,,2023,,37.744,37.744,37.744,37.744,,,,,,,980.724,749.904,980.724,,749.904,,,,,,,,,,,,,,,1029.7602,1029.7602,,,,0.012716275759025399,0.012716275759025399,
BAU,0,,DIST_DSL,,2024,,38.575,38.575,38.575,38.575,,,,,,,1021.36,743.789,1021.36,,743.789,,,,,,,,,,,,,,,1021.36,1021.36,,,,0.012795334076310203,0.012795334076310203,
BAU,0,,DIST_DSL,,2025,,39.4721,39.4721,39.4721,39.4721,,,,,,,1064.97,738.616,1064.97,,738.616,,,,,,,,,,,,,,,1014.2571,1014.2571,,,,0.012890501337090075,0.012890501337090075,
BAU,0,,DIST_DSL,,2026,,40.3737,40.3737,40.3737,40.3737,,,,,,,1109.99,733.181,1109.99,,733.181,,,,,,,,,,,,,,,1006.7937,1006.7937,,,,0.012981089693580637,0.012981089693580637,
BAU,0,,DIST_DSL,,2027,,41.279,41.279,41.279,41.279,,,,,,,1156.45,727.491,1156.45,,727.491,,,,,,,,,,,,,,,998.985,998.985,,,,0.013067081359997743,0.013067081359997743,
BAU,0,,DIST_DSL,,2028,,42.1893,42.1893,42.1893,42.1893,,,,,,,1204.41,721.582,1204.41,,721.582,,,,,,,,,,,,,,,990.8711,990.8711,,,,0.013148788436371163,0.013148788436371163,
BAU,0,,DIST_DSL,,2029,,43.0977,43.0977,43.0977,43.0977,,,,,,,1253.72,715.356,1253.72,,715.356,,,,,,,,,,,,,,,982.3224,982.3224,,,,0.013224266391419949,0.013224266391419949,
BAU,0,,DIST_DSL,,2030,,44.0149,44.0149,44.0149,44.0149,,,,,,,1304.72,709.01,1304.72,,709.01,,,,,,,,,,,,,,,973.6022,973.6022,,,,0.013296826592823765,0.013296826592823765,
BAU,0,,DIST_DSL,,2031,,44.9333,44.9333,44.9333,44.9333,,,,,,,1357.26,702.435,1357.26,,702.435,,,,,,,,,,,,,,,964.5793,964.5793,,,,0.01336452062817038,0.01336452062817038,
BAU,0,,DIST_DSL,,2032,,45.8576,45.8576,45.8576,45.8576,,,,,,,1411.49,695.718,1411.49,,695.718,,,,,,,,,,,,,,,955.352,955.352,,,,0.013428508901570171,0.013428508901570171,
BAU,0,,DIST_DSL,,2033,,46.7861,46.7861,46.7861,46.7861,,,,,,,1467.43,688.849,1467.43,,688.849,,,,,,,,,,,,,,,945.9185,945.9185,,,,0.013488604766225296,0.013488604766225296,
BAU,0,,DIST_DSL,,2034,,47.7156,47.7156,47.7156,47.7156,,,,,,,1525.02,681.792,1525.02,,681.792,,,,,,,,,,,,,,,936.23,936.23,,,,0.013543933896978652,0.013543933896978652,
