PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityFactor,BAU,HON,PPHDAM,,,,2018,All,,,,,0.5946
CapacityFactor,BAU,HON,PPHDAM,,,,2019,All,,,,,0.4171
CapacityFactor,BAU,HON,PPHDAM,,,,2020,All,,,,,0.3147
CapacityFactor,BAU,HON,PPHDAM,,,,2021,All,,,,,0.5319
CapacityFactor,BAU,HON,PPHDAM,,,,2022,All,,,,,0.4738
CapacityFactor,BAU,HON,PPHDAM,,,,2023,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2024,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2025,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2026,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2027,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2028,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2029,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2030,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2031,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2032,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2033,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2034,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2035,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2036,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2037,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2038,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2039,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2040,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2041,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2042,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2043,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2044,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2045,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2046,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2047,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2048,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2049,All,,,,,0.5
CapacityFactor,BAU,HON,PPHDAM,,,,2050,All,,,,,0.5
CapacityFactor,BAU,HON,PPHROR,,,,2018,All,,,,,0.4161
CapacityFactor,BAU,HON,PPHROR,,,,2019,All,,,,,0.3492
CapacityFactor,BAU,HON,PPHROR,,,,2020,All,,,,,0.4224
CapacityFactor,BAU,HON,PPHROR,,,,2021,All,,,,,0.4752
CapacityFactor,BAU,HON,PPHROR,,,,2022,All,,,,,0.4975
CapacityFactor,BAU,HON,PPHROR,,,,2023,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2024,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2025,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2026,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2027,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2028,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2029,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2030,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2031,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2032,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2033,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2034,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2035,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2036,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2037,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2038,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2039,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2040,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2041,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2042,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2043,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2044,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2045,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2046,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2047,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2048,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2049,All,,,,,0.4
CapacityFactor,BAU,HON,PPHROR,,,,2050,All,,,,,0.4
CapacityFactor,BAU,HON,PPGEO,,,,2018,All,,,,,0.8695
CapacityFactor,BAU,HON,PPGEO,,,,2019,All,,,,,0.8662
CapacityFactor,BAU,HON,PPGEO,,,,2020,All,,,,,0.8986
CapacityFactor,BAU,HON,PPGEO,,,,2021,All,,,,,0.774
CapacityFactor,BAU,HON,PPGEO,,,,2022,All,,,,,0.7204
CapacityFactor,BAU,HON,PPGEO,,,,2023,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2024,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2025,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2026,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2027,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2028,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2029,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2030,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2031,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2032,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2033,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2034,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2035,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2036,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2037,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2038,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2039,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2040,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2041,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2042,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2043,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2044,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2045,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2046,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2047,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2048,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2049,All,,,,,0.85
CapacityFactor,BAU,HON,PPGEO,,,,2050,All,,,,,0.85
CapacityFactor,BAU,HON,PPWNDON,,,,2018,All,,,,,0.4643
CapacityFactor,BAU,HON,PPWNDON,,,,2019,All,,,,,0.3917
CapacityFactor,BAU,HON,PPWNDON,,,,2020,All,,,,,0.3389
CapacityFactor,BAU,HON,PPWNDON,,,,2021,All,,,,,0.3711
CapacityFactor,BAU,HON,PPWNDON,,,,2022,All,,,,,0.3272
CapacityFactor,BAU,HON,PPWNDON,,,,2023,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2024,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2025,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2026,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2027,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2028,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2029,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2030,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2031,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2032,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2033,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2034,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2035,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2036,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2037,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2038,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2039,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2040,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2041,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2042,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2043,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2044,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2045,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2046,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2047,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2048,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2049,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDON,,,,2050,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2018,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2019,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2020,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2021,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2022,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2023,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2024,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2025,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2026,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2027,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2028,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2029,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2030,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2031,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2032,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2033,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2034,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2035,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2036,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2037,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2038,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2039,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2040,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2041,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2042,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2043,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2044,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2045,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2046,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2047,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2048,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2049,All,,,,,0.4
CapacityFactor,BAU,HON,PPWNDS,,,,2050,All,,,,,0.4
CapacityFactor,BAU,HON,PPPVT,,,,2018,All,,,,,0.2027
CapacityFactor,BAU,HON,PPPVT,,,,2019,All,,,,,0.2236
CapacityFactor,BAU,HON,PPPVT,,,,2020,All,,,,,0.2061
CapacityFactor,BAU,HON,PPPVT,,,,2021,All,,,,,0.2064
CapacityFactor,BAU,HON,PPPVT,,,,2022,All,,,,,0.1821
CapacityFactor,BAU,HON,PPPVT,,,,2023,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2024,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2025,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2026,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2027,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2028,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2029,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2030,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2031,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2032,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2033,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2034,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2035,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2036,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2037,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2038,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2039,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2040,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2041,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2042,All,,,,,0.3
CapacityFactor,BAU,HON,PPPVT,,,,2043,All,,,,,0.3
