PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2018,,,,,,2.4745
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2019,,,,,,2.5532
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2020,,,,,,2.5532
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2021,,,,,,2.5532
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2022,,,,,,2.5532
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2023,,,,,,2.5532
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2024,,,,,,2.535
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2025,,,,,,2.5888
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2026,,,,,,2.643
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2027,,,,,,2.6972
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2028,,,,,,2.7515
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2029,,,,,,2.8057
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2030,,,,,,2.8598
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2031,,,,,,2.9135
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2032,,,,,,2.9671
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2033,,,,,,3.0203
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2034,,,,,,3.0731
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2035,,,,,,3.1254
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2036,,,,,,3.1774
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2037,,,,,,3.2287
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2038,,,,,,3.2794
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2039,,,,,,3.3294
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2040,,,,,,3.3788
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2041,,,,,,3.4272
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2042,,,,,,3.475
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2043,,,,,,3.5219
TotalAnnualMaxCapacity,BAU,HON,Techs_Auto,,,,2044,,,,,,3.5677
