PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,BAU,JAM,,,HAB,,2021,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2022,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2023,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2024,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2025,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2026,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2027,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2028,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2029,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2030,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2031,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2032,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2033,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2034,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2035,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2036,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2037,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2038,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2039,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2040,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2041,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2042,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2043,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2044,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2045,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2046,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2047,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2048,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2049,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2050,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2051,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2052,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2053,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2054,,,,,,-1000
EmissionsPenalty,BAU,JAM,,,HAB,,2055,,,,,,-1000
