PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,BAU,JAM,AG_COF,,,,2021,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2022,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2023,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2024,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2025,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2026,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2027,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2028,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2029,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2030,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2031,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2032,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2033,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2034,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2035,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2036,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2037,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2038,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2039,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2040,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2041,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2042,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2043,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2044,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2045,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2046,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2047,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2048,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2049,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2050,,,,,,5.5
FixedCost,BAU,JAM,AG_COF,,,,2051,,,,,,5.5
