PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2021,,,,,,0.007783999999999999
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2022,,,,,,0.007257
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2023,,,,,,0.008735999999999999
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2024,,,,,,0.008877930131336456
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2025,,,,,,0.008999768020421664
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2026,,,,,,0.009123277973940488
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2027,,,,,,0.009248482938773337
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2028,,,,,,0.00937540617671631
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2029,,,,,,0.009504071268802991
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2030,,,,,,0.00959696524692592
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2031,,,,,,0.009690767182378653
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2032,,,,,,0.009785485949649392
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2033,,,,,,0.009881130509966692
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2034,,,,,,0.009977709912147274
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2035,,,,,,0.009843367112717733
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2036,,,,,,0.009710833143963515
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2037,,,,,,0.009580083651260287
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2038,,,,,,0.009451094607901488
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2039,,,,,,0.00932384231068315
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2040,,,,,,0.009468012448279405
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2041,,,,,,0.009614411820120721
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2042,,,,,,0.009763074895795615
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2043,,,,,,0.00991403667787945
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2044,,,,,,0.01006733271017576
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2045,,,,,,0.009989213620256395
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2046,,,,,,0.009911700707999528
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2047,,,,,,0.009834789269671934
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2048,,,,,,0.00975847463803977
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2049,,,,,,0.009682752182085341
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2050,,,,,,0.009560056709566615
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2051,,,,,,0.009438915978787994
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2052,,,,,,0.00931931028876273
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2053,,,,,,0.009201220188146099
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2054,,,,,,0.009084626472072052
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOF,,,2055,,,,,,0.008969510179029947
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOC,,,2021,,,,,,0.00028203
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOC,,,2022,,,,,,0.00016529
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOC,,,2023,,,,,,0.00020129000000000002
SpecifiedAnnualDemand,BAU,JAM,,E5AGRCOC,,,2024,,,,,,0.00020456027428304897
